Geography,Year,Average income (dollars),Median income (dollars),"Number of persons (x 1,000)",Percentage without income,Percentage with income,"Percentage under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 and over"
Prince Edward Island,2002,"24,700","20,500",107,2.2,97.8,20,29,21.9,14.3,6.8,3.5,4.5
Prince Edward Island,2003,"24,400","20,900",108,2.6,97.4,19.5,28.4,22,14.8,7.2,4.2,3.9
Prince Edward Island,2004,"25,000","21,600",110,1.9,98.1,18.3,27.7,22,16.1,7.8,4,4.1
Prince Edward Island,2005,"25,600","21,900",110,2.2,97.8,17,27.9,22.4,15.4,8.6,4.1,4.7
Prince Edward Island,2006,"26,600","23,200",110,1.6,98.4,17.7,23.7,22.5,17.6,8.5,5.5,4.5
Prince Edward Island,2007,"27,400","24,000",111,1.3,98.7,16.2,23.8,22.6,16.6,10.1,6.1,4.7
Prince Edward Island,2008,"28,000","24,400",114,1.6,98.4,16.1,23.4,23.2,16,9.9,5.4,6.1
Prince Edward Island,2009,"28,500","25,800",115,1.7,98.3,14.3,22.5,23.9,18.2,9.6,5.3,6.3
Prince Edward Island,2010,"28,400","25,900",116,1.5,98.5,15.7,22.2,22.1,18.6,9.8,5.4,6.2
Prince Edward Island,2011,"28,700","24,700",118,2.1,97.9,16.2,23,21.7,17.4,10,4.8,6.9
Nova Scotia,1976,"20,100","14,200",594,20.5,79.5,39.5,18,14.7,11.9,7.4,4.4,4.2
Nova Scotia,1977,"20,400","14,500",605,18.1,81.9,38,20.9,13.5,10.5,7.8,4.8,4.5
Nova Scotia,1978,"21,100","14,500",618,19,81,39.8,17.6,13.6,10.6,8.7,4.3,5.3
Nova Scotia,1979,"20,900","15,600",623,17.2,82.8,36.4,20.9,14,12.4,7.1,5,4.1
Nova Scotia,1980,"21,000","15,800",630,17.8,82.2,36,20.6,15,10.3,9,4.8,4.2
Nova Scotia,1981,"20,900","16,300",636,14.8,85.2,34.3,22.3,16.1,11.3,8,4.2,3.9
Nova Scotia,1982,"20,900","16,400",645,15.1,84.9,33.9,23.7,16.1,10.6,7.6,4.1,4
Nova Scotia,1983,"21,300","16,600",656,13.1,86.9,32.6,24.6,15.7,11.3,7.1,4.8,4
Nova Scotia,1984,"21,600","16,600",665,13.6,86.4,33.8,23.2,15.9,10.4,7.2,4.9,4.6
Nova Scotia,1985,"22,700","17,200",672,12.4,87.6,31.5,24.5,15.9,10.4,7.8,4.6,5.3
Nova Scotia,1986,"22,200","17,200",678,11.8,88.2,31.1,24.7,16.8,10.4,7.5,4.4,5
Nova Scotia,1987,"22,500","18,000",683,11.1,88.9,29.8,23.8,17.2,11.3,7.8,5.6,4.5
Nova Scotia,1988,"22,700","18,200",688,10.6,89.4,28.9,24.4,17.4,10.9,9.5,4.7,4.1
Nova Scotia,1989,"23,200","18,800",694,9.6,90.4,25.6,27.2,17.3,11.2,9.1,5.1,4.4
Nova Scotia,1990,"23,300","19,500",701,9.1,90.9,26.4,24.7,19.3,11.4,8.6,5.7,4
Nova Scotia,1991,"22,300","18,400",706,9.6,90.4,27.8,26.3,17.7,11.8,8.7,3.6,4.1
Nova Scotia,1992,"22,500","18,100",711,9.8,90.2,28.2,26.3,17,11.7,8.4,4.7,3.8
Nova Scotia,1993,"22,200","18,600",712,7.7,92.3,27.7,25.5,18.6,11.9,8.9,4.5,2.9
Nova Scotia,1994,"22,000","18,300",716,7.9,92.1,28.5,25.5,17.7,12.7,8.5,4.1,3
Nova Scotia,1995,"21,700","17,900",720,7.2,92.8,28.1,27.4,17.6,11.8,9,3.4,2.6
Nova Scotia,1996,"21,600","18,300",722,6.4,93.6,28.4,25.6,18.6,12.3,8.5,4.2,2.4
Nova Scotia,1997,"21,900","18,000",724,7,93,28.7,26.1,17.9,12.4,7.9,3.8,3.3
Nova Scotia,1998,"23,000","18,800",720,4.8,95.2,27.1,26.1,16.9,13.3,7.9,4.7,3.9
Nova Scotia,1999,"24,100","19,700",723,4.9,95.1,25.8,24.8,17.3,13.5,8.7,5.1,4.7
Nova Scotia,2000,"24,900","20,300",726,4.3,95.7,24.5,24.9,18.3,13.1,8.7,5.1,5.3
Nova Scotia,2001,"25,700","20,800",730,3.9,96.1,24.1,23.8,18.8,13.3,9.2,4.9,5.9
Nova Scotia,2002,"26,000","21,100",736,3.5,96.5,23.5,24,18.9,13.9,8,5.8,6
Nova Scotia,2003,"25,500","21,100",742,3.7,96.3,24,23.6,19.4,14,7.4,5.1,6.5
Nova Scotia,2004,"25,900","21,700",748,3.5,96.5,24,22.7,18.1,15,8.1,6,6.2
Nova Scotia,2005,"26,900","22,300",751,2.7,97.3,22.1,23.5,17.6,14.9,9.3,5.5,7.1
Nova Scotia,2006,"27,800","23,700",752,2.9,97.1,21,21.2,19.3,15.4,9.1,6.2,7.7
Nova Scotia,2007,"28,300","23,600",759,3.2,96.8,21.4,21.2,18.5,14.2,10.2,6.9,7.6
Nova Scotia,2008,"28,000","22,600",762,2.6,97.4,21.2,23.1,18.1,13.9,10.2,5.9,7.6
Nova Scotia,2009,"29,000","23,800",765,3,97,20.9,21.3,18,14.2,9.5,7.2,8.9
Nova Scotia,2010,"29,000","23,900",768,2.8,97.2,19.8,20.5,20,14.3,10.1,7.1,8.3
Nova Scotia,2011,"29,400","25,100",772,2.4,97.6,19.9,19.6,19.3,15.6,10.2,6.5,8.9
New Brunswick,1976,"19,500","13,200",488,20.3,79.7,39.5,20,14.5,12,6.4,3.9,3.6
New Brunswick,1977,"20,400","15,300",496,19.6,80.4,37.7,20.8,14,10.9,7.7,4.6,4.3
New Brunswick,1978,"20,300","15,200",502,18.7,81.3,39.3,19.4,13.8,11.1,7.6,4.8,4.1
New Brunswick,1979,"20,400","15,400",510,17.7,82.3,35.9,23,14,11.3,7,4.7,4
New Brunswick,1980,"20,300","15,800",515,18.7,81.3,35.4,23.1,14.7,10.6,8.5,4.1,3.7
New Brunswick,1981,"20,500","15,500",518,16.3,83.7,35.6,23.9,15.7,9.3,6.9,4.3,4.3
New Brunswick,1982,"20,200","15,800",526,15.2,84.8,34.3,25.2,15.3,9.9,7.5,4.3,3.5
New Brunswick,1983,"19,400","14,500",534,15,85,36,26.8,14,9.6,6.7,3.5,3.5
New Brunswick,1984,"20,700","16,200",541,14.2,85.8,33.8,25,15.7,9.9,7.4,4.6,3.6
New Brunswick,1985,"21,100","16,300",546,12.8,87.2,32.1,25.2,16.9,10.3,7.2,4.2,3.9
New Brunswick,1986,"21,000","16,900",550,12.4,87.6,30.6,26.5,16.9,10.9,6.9,4.7,3.4
New Brunswick,1987,"20,600","16,500",554,10.9,89.1,30.7,27.4,16.6,10.6,7.8,4.1,2.7
New Brunswick,1988,"21,600","17,700",560,9.9,90.1,28.1,27.2,18,11.3,7.6,4.4,3.4
New Brunswick,1989,"22,200","18,100",566,9.9,90.1,27.2,27.2,18.2,11.3,8.1,4.6,3.5
New Brunswick,1990,"21,800","17,800",574,8.5,91.5,28.7,26,17.8,12,8,4.2,3.2
New Brunswick,1991,"21,300","17,300",577,9.2,90.8,28.9,28,17.3,11,7.4,4.5,3
New Brunswick,1992,"21,500","17,300",579,9.7,90.3,28.6,27.6,17.6,11,7.9,4.4,2.9
New Brunswick,1993,"21,300","17,600",581,8.6,91.4,27.8,28.3,18.5,10.8,7.8,4.3,2.5
New Brunswick,1994,"21,300","17,600",582,7.4,92.6,27.8,28.4,18,11.4,8.3,4,2.2
New Brunswick,1995,"21,500","17,900",585,7,93,27.7,27.9,18.7,11.8,7.2,3.9,2.8
New Brunswick,1996,"21,600","17,900",587,5.8,94.2,27.3,28.1,18.4,11.7,8,3.7,2.7
New Brunswick,1997,"21,500","17,700",587,6,94,27.3,28.2,18.3,12.2,8.1,3.6,2.4
New Brunswick,1998,"22,900","18,500",584,4.4,95.6,24.8,28.7,18.3,13.2,7.6,3.9,3.4
New Brunswick,1999,"23,500","19,700",590,4.8,95.2,24.5,26.4,19.4,13.3,8.3,4,4
New Brunswick,2000,"24,100","19,700",592,4.2,95.8,24.6,26.2,19.4,12.9,8.5,3.9,4.5
New Brunswick,2001,"25,000","20,500",590,3.2,96.8,22.4,26.3,20.2,14,7.4,4.8,4.8
New Brunswick,2002,"24,800","20,100",593,2.9,97.1,21.9,27.9,19,14.2,7.6,3.9,5.5
New Brunswick,2003,"24,700","20,700",597,3.7,96.3,22.2,26.2,20.8,13.8,8.2,3.7,5
New Brunswick,2004,"25,100","21,000",601,3.3,96.7,22.3,25.3,20.7,14.4,7.8,4.3,5.2
New Brunswick,2005,"25,200","20,900",603,3.1,96.9,22.3,25.3,20.2,14.2,8.7,4.3,5
New Brunswick,2006,"26,000","22,000",599,2.8,97.2,20.9,24.7,20.6,15,8.4,5.1,5.3
New Brunswick,2007,"27,300","23,100",600,2.6,97.4,19.9,22.6,20.8,15.4,9.2,5.8,6.3
New Brunswick,2008,"27,400","23,700",605,2.1,97.9,20.5,21.8,20.8,14.5,10.5,6.2,5.7
New Brunswick,2009,"28,700","24,400",606,2.2,97.8,19.1,21.6,20.1,15.3,10.5,5.3,8.1
New Brunswick,2010,"28,700","24,700",612,2.2,97.8,19.1,22.1,19.4,15.5,9.6,6.2,8.2
New Brunswick,2011,"29,200","24,800",612,2,98,18,21.7,20.1,16.4,9.1,7.1,7.7
Quebec,1976,"23,200","18,000","4,775",19.7,80.3,36,16.9,14.9,11.9,9.1,5,6.2
Quebec,1977,"22,900","18,200","4,838",20,80,35.7,16.8,14.7,11.8,9,6.1,5.8
Quebec,1978,"23,300","18,400","4,902",19.8,80.2,35.3,16.8,14.2,12.6,9.2,5.3,6.5
Quebec,1979,"23,100","18,400","4,957",18.6,81.4,34.8,17.6,14.7,12.7,9.3,5.5,5.5
Quebec,1980,"23,100","18,400","5,015",17.5,82.5,33.3,19.2,15.4,11.2,9.4,5.8,5.7
Quebec,1981,"23,100","18,500","5,067",16.2,83.8,32.6,19.8,15.3,12.6,9,5.3,5.4
Quebec,1982,"22,500","18,200","5,102",14.8,85.2,32.3,21.1,16.2,12.4,8.1,5.1,4.8
Quebec,1983,"22,200","17,400","5,137",13.6,86.4,32.3,22.7,14.4,11.9,8.8,5.3,4.6
Quebec,1984,"22,900","18,200","5,179",12.3,87.7,30.5,23.3,16.1,11.3,8.7,5.1,5.1
Quebec,1985,"23,200","18,700","5,219",11.4,88.6,28.8,23.9,16.7,12.3,8.1,5.3,5
Quebec,1986,"23,400","19,100","5,267",11.7,88.3,28.6,23.4,16.6,12.9,9.1,4.9,4.6
Quebec,1987,"23,500","19,400","5,317",10.3,89.7,27.5,24.1,17.3,12.7,8.9,4.9,4.6
Quebec,1988,"23,700","19,500","5,368",9.4,90.6,26,25,17.3,13.5,9.4,4.6,4.3
Quebec,1989,"24,500","20,600","5,430",8.9,91.1,23.7,24.6,19.3,13.7,9.1,4.9,4.7
Quebec,1990,"23,500","19,700","5,494",8.7,91.3,25.3,25.5,18.5,13.5,8.3,4.3,4.5
Quebec,1991,"22,900","18,800","5,547",9.9,90.1,26.8,25.9,17.7,13.5,8.2,4.1,3.8
Quebec,1992,"23,100","19,300","5,601",9.7,90.3,26.6,25.3,17.3,13.5,8.3,4.7,4.4
Quebec,1993,"22,400","19,000","5,603",8.6,91.4,26.3,26.3,18.6,13.1,8.8,3.8,3.2
Quebec,1994,"22,800","19,200","5,653",8.8,91.2,26.6,25.5,18.1,13.7,8.5,4.3,3.3
Quebec,1995,"22,600","19,200","5,693",8.2,91.8,26.5,25.5,18.7,13.7,8.3,4.2,3.2
Quebec,1996,"22,900","19,000","5,722",7.3,92.7,26.5,26.1,17.8,13.5,8.1,4.2,3.6
Quebec,1997,"22,700","18,900","5,747",6.6,93.4,26.6,26,18.4,13.7,7.8,4.1,3.4
Quebec,1998,"23,800","19,800","5,752",4.6,95.4,24.8,25.7,19.1,14.2,8.2,4.3,3.7
Quebec,1999,"24,700","20,900","5,785",4.8,95.2,23.2,25,19.3,15.1,8.9,4.4,4.1
Quebec,2000,"25,500","21,400","5,829",4.2,95.8,22.2,24.7,20.3,14.4,8.4,5.4,4.7
Quebec,2001,"26,800","22,100","5,879",3.9,96.1,20.6,24.7,19.9,14.7,9.1,5.3,5.6
Quebec,2002,"27,300","23,000","5,920",3.1,96.9,19.7,23.9,21.1,14.6,9.1,5.5,6
Quebec,2003,"27,100","22,800","5,985",3.1,96.9,20.1,23.4,21.1,14.7,9.4,5.7,5.7
Quebec,2004,"27,800","23,400","6,052",3.3,96.7,19.7,23.4,20,15.5,9.5,5.9,6
Quebec,2005,"27,700","23,600","6,101",2.6,97.4,18.9,23.4,20.9,15.2,9.8,5.8,6
Quebec,2006,"28,300","24,000","6,150",2.9,97.1,18.3,23.3,20.6,15.7,9.5,6,6.7
Quebec,2007,"28,900","24,700","6,222",2.6,97.4,18.4,22.2,19.4,16.6,10.1,6.1,7.3
Quebec,2008,"29,100","24,600","6,303",2.2,97.8,17.6,22.7,19.6,15.5,10.9,6.1,7.6
Quebec,2009,"29,800","25,500","6,380",2.5,97.5,17.8,21.1,19.5,16.1,10.8,6.4,8.2
Quebec,2010,"29,600","25,100","6,456",2.8,97.2,17.9,21.6,19.4,16.1,11,5.7,8.2
Quebec,2011,"29,900","25,100","6,518",2.5,97.5,17.1,22.4,19.2,15.9,11.3,5.6,8.4
Ontario,1976,"26,500","20,600","6,269",15.3,84.7,34.6,14.6,12.4,11.9,10.3,7.3,8.7
Ontario,1977,"26,300","21,200","6,410",15,85,33.1,15.4,12.8,11.5,10.5,7.5,9.3
Ontario,1978,"26,500","21,400","6,531",15,85,32.6,15.6,13.7,10.7,10.7,7.9,8.7
Ontario,1979,"26,300","21,600","6,648",13.2,86.8,30.5,17.3,14,12.7,10.2,6.7,8.5
Ontario,1980,"27,100","22,200","6,743",11.5,88.5,29.9,16.7,14.3,12.5,10.1,7.4,9.1
Ontario,1981,"26,900","22,400","6,841",10.3,89.7,28.4,18.1,14.7,13.1,10.1,7.1,8.5
Ontario,1982,"26,200","21,400","6,963",10.2,89.8,29.1,18.6,15.3,12.9,10,6.6,7.6
Ontario,1983,"26,000","20,300","7,083",10.7,89.3,30.5,19.1,14.6,12.7,9.2,5.9,8
Ontario,1984,"26,500","21,600","7,212",9.2,90.8,28.2,19.5,15.3,12.8,10.2,6.5,7.6
Ontario,1985,"27,300","22,400","7,340",8.7,91.3,26.8,19.1,16.4,12.9,9.6,6.7,8.5
Ontario,1986,"27,700","22,700","7,472",8.3,91.7,25.7,19.3,17.1,12.2,10.3,6.7,8.7
Ontario,1987,"28,200","23,600","7,625",7.1,92.9,24.3,18.9,17,13.7,10.3,7.2,8.5
Ontario,1988,"29,500","25,200","7,762",6.5,93.5,21.9,18.2,17.7,14.1,11.7,7.1,9.3
Ontario,1989,"30,100","26,100","7,898",6.2,93.8,20.9,18.2,17.4,15.5,11.2,7.9,8.9
Ontario,1990,"28,900","24,800","8,040",6.4,93.6,22.1,18.8,17.9,15,11.1,6.8,8.4
Ontario,1991,"27,700","23,100","8,154",7.6,92.4,23.2,20.9,16.9,14.8,10.5,6.2,7.6
Ontario,1992,"27,600","23,000","8,273",7.8,92.2,23.8,20.2,16.9,14,10.9,6.2,7.9
Ontario,1993,"27,400","23,100","8,320",7.5,92.5,23.4,20.2,18.1,14.3,10.1,6.4,7.5
Ontario,1994,"27,300","22,700","8,444",7.7,92.3,23.9,20.4,17.8,14.2,10,6.3,7.5
Ontario,1995,"27,600","23,000","8,553",7.4,92.6,24.1,20.3,16.9,14.7,10.3,6.1,7.6
Ontario,1996,"27,400","22,600","8,661",6.6,93.4,24.4,20.8,16.9,14.2,9.7,6.3,7.7
Ontario,1997,"27,800","22,900","8,785",5.7,94.3,24.5,20,17.3,14.1,9.6,6.4,8.2
Ontario,1998,"29,600","24,100","8,783",3.7,96.3,22.1,20.3,16.8,14.5,10.1,6.8,9.4
Ontario,1999,"30,900","25,400","8,955",3.7,96.3,21.8,19.1,16.4,14.5,10.5,7.1,10.6
Ontario,2000,"31,600","25,400","9,172",3.5,96.5,21.8,19.1,16.1,14.4,10.4,7.1,11
Ontario,2001,"32,400","26,100","9,345",3.7,96.3,20.5,19,16.5,14.7,10.5,7.1,11.8
Ontario,2002,"32,300","26,100","9,506",3.3,96.7,20.8,18.9,16.2,14.8,10.6,6.9,11.8
Ontario,2003,"32,200","25,900","9,651",3.2,96.8,20.8,19.2,16.2,14.5,10.5,6.9,11.9
Ontario,2004,"32,400","25,600","9,803",2.9,97.1,21.2,19.4,16,14,10.4,6.7,12.3
Ontario,2005,"32,500","26,000","10,000",3,97,21.5,18.5,15.6,14.7,9.9,7.1,12.7
Ontario,2006,"32,800","26,600","10,090",2.7,97.3,21.3,18.2,15.7,14.1,11,6.9,12.8
Ontario,2007,"33,800","27,000","10,231",2.1,97.9,19.9,19,15.6,13.9,10.7,7.1,13.8
Ontario,2008,"33,900","27,100","10,390",2.4,97.6,19.7,19,15.3,14.2,10.2,7.6,14
Ontario,2009,"33,700","26,500","10,529",2.7,97.3,20.8,19,14.9,13.4,10.6,7.1,14.2
Ontario,2010,"33,800","26,700","10,733",3.1,96.9,20.2,19.1,15.3,13.2,10.5,7.4,14.3
Ontario,2011,"33,300","26,500","10,875",3.5,96.5,20.3,19.1,15.3,13.6,10.6,6.7,14.4
Manitoba,1976,"22,700","16,900",744,14.6,85.4,37.1,17.9,15.1,10.2,7.1,5.6,7
Manitoba,1977,"22,900","17,400",752,14.4,85.6,35.9,18.1,14,11.2,9,5.3,6.6
Manitoba,1978,"23,300","17,800",758,15.7,84.3,35.6,17.1,14,12,9,5.8,6.6
Manitoba,1979,"23,700","17,700",758,13.7,86.3,33.8,19.7,13.2,12.1,9,5.8,6.4
Manitoba,1980,"25,000","20,100",762,11.4,88.6,29.9,19.9,15.5,13.1,8.7,5.9,7
Manitoba,1981,"24,400","19,900",769,9.4,90.6,29.2,20.9,16.1,12.9,8.9,5.6,6.3
Manitoba,1982,"24,300","19,100",781,9.6,90.4,28.2,23.4,16.1,11.9,9,5.5,5.9
Manitoba,1983,"24,900","20,300",791,7.7,92.3,27.2,22.5,16.4,12.9,9.2,4.5,7.5
Manitoba,1984,"24,500","20,300",802,9.2,90.8,28.3,21.1,17.3,12.7,8.9,5.9,5.8
Manitoba,1985,"24,600","20,200",810,7.9,92.1,27.1,22.3,18.6,12.5,8.4,5.6,5.5
Manitoba,1986,"24,700","20,100",817,7.5,92.5,26.4,23.4,17.1,13.6,8,5.9,5.7
Manitoba,1987,"24,000","20,400",821,7.5,92.5,25.7,23.4,18.9,13.4,9.3,5.2,4.2
Manitoba,1988,"24,700","20,700",822,6.9,93.1,25.2,23,19.3,12.9,9.4,5.5,4.7
Manitoba,1989,"25,400","21,400",823,6,94,22.2,24.2,20.3,13.3,9.4,5.3,5.4
Manitoba,1990,"24,400","21,300",827,6.2,93.8,24.1,23,20.1,13.5,9.7,5.6,4.1
Manitoba,1991,"23,500","20,100",828,6.1,93.9,25.5,24,19.5,13.5,9.1,4.9,3.5
Manitoba,1992,"23,900","20,000",827,6.7,93.3,24.8,25.2,18.5,13,8.9,5.1,4.4
Manitoba,1993,"23,200","20,300",829,5.1,94.9,25.1,24.2,19.8,13.8,10.1,4.8,2.3
Manitoba,1994,"23,900","20,100",832,5.8,94.2,24.2,25.6,18.2,13.9,9.4,4.7,3.9
Manitoba,1995,"24,000","20,600",835,5.3,94.7,23.6,24.9,19.3,15.3,8.5,4.8,3.6
Manitoba,1996,"24,000","20,600",836,4.7,95.3,22.8,25.8,19.8,14.1,9.3,4.8,3.5
Manitoba,1997,"24,000","20,400",837,4.5,95.5,22.7,26.4,19.7,13.9,8.8,5.2,3.3
Manitoba,1998,"25,500","21,100",831,2.5,97.5,20.5,26.6,19.8,14.4,9.4,5.1,4.2
Manitoba,1999,"25,500","21,900",842,2.9,97.1,20,25.2,20.7,15.2,9.3,5.1,4.4
Manitoba,2000,"26,000","21,900",847,2.2,97.8,19.9,25.2,20.6,15.1,9.2,5.2,4.7
Manitoba,2001,"27,100","23,100",848,2.2,97.8,18.1,24.6,21.2,16.1,9.4,5.2,5.3
