Year,GEO,Income concept,Economic family type,GINI
1976,Newfoundland and Labrador,Market income,Male lone-parent families,
1976,Newfoundland and Labrador,Market income,Female lone-parent families,
1976,Newfoundland and Labrador,Market income,"Female lone-parent families, no earners",
1976,Newfoundland and Labrador,Market income,"Female lone-parent families, one earner",
1976,Newfoundland and Labrador,Market income,"Female lone-parent families, two or more earners",
1976,Newfoundland and Labrador,Market income,Other non-elderly families,
1976,Newfoundland and Labrador,Market income,Unattached individuals,0.561
1976,Newfoundland and Labrador,Market income,Elderly males,
1976,Newfoundland and Labrador,Market income,"Elderly males, non-earner",
1976,Newfoundland and Labrador,Market income,"Elderly males, earner",
1976,Newfoundland and Labrador,Market income,Elderly females,
1976,Newfoundland and Labrador,Market income,"Elderly females, non-earner",
1976,Newfoundland and Labrador,Market income,"Elderly females, earner",
1976,Newfoundland and Labrador,Market income,Non-elderly males,
1976,Newfoundland and Labrador,Market income,"Non-elderly males, non-earner",
1976,Newfoundland and Labrador,Market income,"Non-elderly males, earner",
1976,Newfoundland and Labrador,Market income,Non-elderly females,
1976,Newfoundland and Labrador,Market income,"Non-elderly females, non-earner",
1976,Newfoundland and Labrador,Market income,"Non-elderly females, earner",
1976,Newfoundland and Labrador,Total income,All family units,0.368
1976,Newfoundland and Labrador,Total income,"Economic families, two persons or more",0.34
1976,Newfoundland and Labrador,Total income,Elderly families,0.394
1976,Newfoundland and Labrador,Total income,Elderly married couples,0.275
1976,Newfoundland and Labrador,Total income,Other elderly families,0.411
1976,Newfoundland and Labrador,Total income,Non-elderly families,0.321
1976,Newfoundland and Labrador,Total income,Married couples,0.33
1976,Newfoundland and Labrador,Total income,"Married couples, no earners",
1976,Newfoundland and Labrador,Total income,"Married couples, one earner",
1976,Newfoundland and Labrador,Total income,"Married couples, two earners",
1976,Newfoundland and Labrador,Total income,Two-parent families with children,0.312
1976,Newfoundland and Labrador,Total income,"Two-parent families with children, no earners",
1976,Newfoundland and Labrador,Total income,"Two-parent families with children, one earner",0.295
1976,Newfoundland and Labrador,Total income,"Two-parent families with children, two earners",0.279
1976,Newfoundland and Labrador,Total income,"Two-parent families with children, three or more earners",0.21
1976,Newfoundland and Labrador,Total income,Married couples with other relatives,0.24
1976,Newfoundland and Labrador,Total income,Lone-parent families,0.328
1976,Newfoundland and Labrador,Total income,Male lone-parent families,
1976,Newfoundland and Labrador,Total income,Female lone-parent families,
1976,Newfoundland and Labrador,Total income,"Female lone-parent families, no earners",
1976,Newfoundland and Labrador,Total income,"Female lone-parent families, one earner",
1976,Newfoundland and Labrador,Total income,"Female lone-parent families, two or more earners",
1976,Newfoundland and Labrador,Total income,Other non-elderly families,
1976,Newfoundland and Labrador,Total income,Unattached individuals,0.418
1976,Newfoundland and Labrador,Total income,Elderly males,
1976,Newfoundland and Labrador,Total income,"Elderly males, non-earner",
1976,Newfoundland and Labrador,Total income,"Elderly males, earner",
1976,Newfoundland and Labrador,Total income,Elderly females,
1976,Newfoundland and Labrador,Total income,"Elderly females, non-earner",
1976,Newfoundland and Labrador,Total income,"Elderly females, earner",
1976,Newfoundland and Labrador,Total income,Non-elderly males,
1976,Newfoundland and Labrador,Total income,"Non-elderly males, non-earner",
1976,Newfoundland and Labrador,Total income,"Non-elderly males, earner",
1976,Newfoundland and Labrador,Total income,Non-elderly females,
1976,Newfoundland and Labrador,Total income,"Non-elderly females, non-earner",
1976,Newfoundland and Labrador,Total income,"Non-elderly females, earner",
1976,Newfoundland and Labrador,After-tax income,All family units,0.341
1976,Newfoundland and Labrador,After-tax income,"Economic families, two persons or more",0.313
1976,Newfoundland and Labrador,After-tax income,Elderly families,0.364
1976,Newfoundland and Labrador,After-tax income,Elderly married couples,0.25
1976,Newfoundland and Labrador,After-tax income,Other elderly families,0.382
1976,Newfoundland and Labrador,After-tax income,Non-elderly families,0.296
1976,Newfoundland and Labrador,After-tax income,Married couples,0.301
1976,Newfoundland and Labrador,After-tax income,"Married couples, no earners",
1976,Newfoundland and Labrador,After-tax income,"Married couples, one earner",
1976,Newfoundland and Labrador,After-tax income,"Married couples, two earners",
1976,Newfoundland and Labrador,After-tax income,Two-parent families with children,0.286
1976,Newfoundland and Labrador,After-tax income,"Two-parent families with children, no earners",
1976,Newfoundland and Labrador,After-tax income,"Two-parent families with children, one earner",0.263
1976,Newfoundland and Labrador,After-tax income,"Two-parent families with children, two earners",0.251
1976,Newfoundland and Labrador,After-tax income,"Two-parent families with children, three or more earners",0.185
1976,Newfoundland and Labrador,After-tax income,Married couples with other relatives,0.229
1976,Newfoundland and Labrador,After-tax income,Lone-parent families,0.318
1976,Newfoundland and Labrador,After-tax income,Male lone-parent families,
1976,Newfoundland and Labrador,After-tax income,Female lone-parent families,
1976,Newfoundland and Labrador,After-tax income,"Female lone-parent families, no earners",
1976,Newfoundland and Labrador,After-tax income,"Female lone-parent families, one earner",
1976,Newfoundland and Labrador,After-tax income,"Female lone-parent families, two or more earners",
1976,Newfoundland and Labrador,After-tax income,Other non-elderly families,
1976,Newfoundland and Labrador,After-tax income,Unattached individuals,0.375
1976,Newfoundland and Labrador,After-tax income,Elderly males,
1976,Newfoundland and Labrador,After-tax income,"Elderly males, non-earner",
1976,Newfoundland and Labrador,After-tax income,"Elderly males, earner",
1976,Newfoundland and Labrador,After-tax income,Elderly females,
1976,Newfoundland and Labrador,After-tax income,"Elderly females, non-earner",
1976,Newfoundland and Labrador,After-tax income,"Elderly females, earner",
1976,Newfoundland and Labrador,After-tax income,Non-elderly males,
1976,Newfoundland and Labrador,After-tax income,"Non-elderly males, non-earner",
1976,Newfoundland and Labrador,After-tax income,"Non-elderly males, earner",
1976,Newfoundland and Labrador,After-tax income,Non-elderly females,
1976,Newfoundland and Labrador,After-tax income,"Non-elderly females, non-earner",
1976,Newfoundland and Labrador,After-tax income,"Non-elderly females, earner",
1976,Prince Edward Island,Market income,All family units,0.513
1976,Prince Edward Island,Market income,"Economic families, two persons or more",0.449
1976,Prince Edward Island,Market income,Elderly families,
1976,Prince Edward Island,Market income,Elderly married couples,
1976,Prince Edward Island,Market income,Other elderly families,
1976,Prince Edward Island,Market income,Non-elderly families,0.386
1976,Prince Edward Island,Market income,Married couples,
1976,Prince Edward Island,Market income,"Married couples, no earners",
1976,Prince Edward Island,Market income,"Married couples, one earner",
1976,Prince Edward Island,Market income,"Married couples, two earners",
1976,Prince Edward Island,Market income,Two-parent families with children,0.378
1976,Prince Edward Island,Market income,"Two-parent families with children, no earners",
1976,Prince Edward Island,Market income,"Two-parent families with children, one earner",
1976,Prince Edward Island,Market income,"Two-parent families with children, two earners",0.319
1976,Prince Edward Island,Market income,"Two-parent families with children, three or more earners",
1976,Prince Edward Island,Market income,Married couples with other relatives,
1976,Prince Edward Island,Market income,Lone-parent families,
1976,Prince Edward Island,Market income,Male lone-parent families,
1976,Prince Edward Island,Market income,Female lone-parent families,
1976,Prince Edward Island,Market income,"Female lone-parent families, no earners",
1976,Prince Edward Island,Market income,"Female lone-parent families, one earner",
1976,Prince Edward Island,Market income,"Female lone-parent families, two or more earners",
1976,Prince Edward Island,Market income,Other non-elderly families,
1976,Prince Edward Island,Market income,Unattached individuals,0.695
1976,Prince Edward Island,Market income,Elderly males,
1976,Prince Edward Island,Market income,"Elderly males, non-earner",
1976,Prince Edward Island,Market income,"Elderly males, earner",
1976,Prince Edward Island,Market income,Elderly females,
1976,Prince Edward Island,Market income,"Elderly females, non-earner",
1976,Prince Edward Island,Market income,"Elderly females, earner",
1976,Prince Edward Island,Market income,Non-elderly males,
1976,Prince Edward Island,Market income,"Non-elderly males, non-earner",
1976,Prince Edward Island,Market income,"Non-elderly males, earner",
1976,Prince Edward Island,Market income,Non-elderly females,
1976,Prince Edward Island,Market income,"Non-elderly females, non-earner",
1976,Prince Edward Island,Market income,"Non-elderly females, earner",
1976,Prince Edward Island,Total income,All family units,0.408
1976,Prince Edward Island,Total income,"Economic families, two persons or more",0.345
1976,Prince Edward Island,Total income,Elderly families,
1976,Prince Edward Island,Total income,Elderly married couples,
1976,Prince Edward Island,Total income,Other elderly families,
1976,Prince Edward Island,Total income,Non-elderly families,0.323
1976,Prince Edward Island,Total income,Married couples,
1976,Prince Edward Island,Total income,"Married couples, no earners",
1976,Prince Edward Island,Total income,"Married couples, one earner",
1976,Prince Edward Island,Total income,"Married couples, two earners",
1976,Prince Edward Island,Total income,Two-parent families with children,0.32
1976,Prince Edward Island,Total income,"Two-parent families with children, no earners",
1976,Prince Edward Island,Total income,"Two-parent families with children, one earner",
1976,Prince Edward Island,Total income,"Two-parent families with children, two earners",0.256
1976,Prince Edward Island,Total income,"Two-parent families with children, three or more earners",
1976,Prince Edward Island,Total income,Married couples with other relatives,
1976,Prince Edward Island,Total income,Lone-parent families,
1976,Prince Edward Island,Total income,Male lone-parent families,
1976,Prince Edward Island,Total income,Female lone-parent families,
1976,Prince Edward Island,Total income,"Female lone-parent families, no earners",
1976,Prince Edward Island,Total income,"Female lone-parent families, one earner",
1976,Prince Edward Island,Total income,"Female lone-parent families, two or more earners",
1976,Prince Edward Island,Total income,Other non-elderly families,
1976,Prince Edward Island,Total income,Unattached individuals,0.508
1976,Prince Edward Island,Total income,Elderly males,
1976,Prince Edward Island,Total income,"Elderly males, non-earner",
1976,Prince Edward Island,Total income,"Elderly males, earner",
1976,Prince Edward Island,Total income,Elderly females,
1976,Prince Edward Island,Total income,"Elderly females, non-earner",
1976,Prince Edward Island,Total income,"Elderly females, earner",
1976,Prince Edward Island,Total income,Non-elderly males,
1976,Prince Edward Island,Total income,"Non-elderly males, non-earner",
1976,Prince Edward Island,Total income,"Non-elderly males, earner",
1976,Prince Edward Island,Total income,Non-elderly females,
1976,Prince Edward Island,Total income,"Non-elderly females, non-earner",
1976,Prince Edward Island,Total income,"Non-elderly females, earner",
1976,Prince Edward Island,After-tax income,All family units,0.376
1976,Prince Edward Island,After-tax income,"Economic families, two persons or more",0.316
1976,Prince Edward Island,After-tax income,Elderly families,
1976,Prince Edward Island,After-tax income,Elderly married couples,
1976,Prince Edward Island,After-tax income,Other elderly families,
1976,Prince Edward Island,After-tax income,Non-elderly families,0.296
1976,Prince Edward Island,After-tax income,Married couples,
1976,Prince Edward Island,After-tax income,"Married couples, no earners",
1976,Prince Edward Island,After-tax income,"Married couples, one earner",
1976,Prince Edward Island,After-tax income,"Married couples, two earners",
1976,Prince Edward Island,After-tax income,Two-parent families with children,0.291
1976,Prince Edward Island,After-tax income,"Two-parent families with children, no earners",
1976,Prince Edward Island,After-tax income,"Two-parent families with children, one earner",
1976,Prince Edward Island,After-tax income,"Two-parent families with children, two earners",0.222
1976,Prince Edward Island,After-tax income,"Two-parent families with children, three or more earners",
1976,Prince Edward Island,After-tax income,Married couples with other relatives,
1976,Prince Edward Island,After-tax income,Lone-parent families,
1976,Prince Edward Island,After-tax income,Male lone-parent families,
1976,Prince Edward Island,After-tax income,Female lone-parent families,
1976,Prince Edward Island,After-tax income,"Female lone-parent families, no earners",
1976,Prince Edward Island,After-tax income,"Female lone-parent families, one earner",
1976,Prince Edward Island,After-tax income,"Female lone-parent families, two or more earners",
1976,Prince Edward Island,After-tax income,Other non-elderly families,
1976,Prince Edward Island,After-tax income,Unattached individuals,0.463
1976,Prince Edward Island,After-tax income,Elderly males,
1976,Prince Edward Island,After-tax income,"Elderly males, non-earner",
1976,Prince Edward Island,After-tax income,"Elderly males, earner",
1976,Prince Edward Island,After-tax income,Elderly females,
1976,Prince Edward Island,After-tax income,"Elderly females, non-earner",
1976,Prince Edward Island,After-tax income,"Elderly females, earner",
1976,Prince Edward Island,After-tax income,Non-elderly males,
1976,Prince Edward Island,After-tax income,"Non-elderly males, non-earner",
1976,Prince Edward Island,After-tax income,"Non-elderly males, earner",
1976,Prince Edward Island,After-tax income,Non-elderly females,
1976,Prince Edward Island,After-tax income,"Non-elderly females, non-earner",
1976,Prince Edward Island,After-tax income,"Non-elderly females, earner",
1976,Nova Scotia,Market income,All family units,0.453
1976,Nova Scotia,Market income,"Economic families, two persons or more",0.386
1976,Nova Scotia,Market income,Elderly families,0.613
1976,Nova Scotia,Market income,Elderly married couples,0.675
1976,Nova Scotia,Market income,Other elderly families,0.505
1976,Nova Scotia,Market income,Non-elderly families,0.343
1976,Nova Scotia,Market income,Married couples,0.352
1976,Nova Scotia,Market income,"Married couples, no earners",
1976,Nova Scotia,Market income,"Married couples, one earner",0.291
1976,Nova Scotia,Market income,"Married couples, two earners",0.286
1976,Nova Scotia,Market income,Two-parent families with children,0.303
1976,Nova Scotia,Market income,"Two-parent families with children, no earners",
1976,Nova Scotia,Market income,"Two-parent families with children, one earner",0.288
1976,Nova Scotia,Market income,"Two-parent families with children, two earners",0.258
1976,Nova Scotia,Market income,"Two-parent families with children, three or more earners",0.287
1976,Nova Scotia,Market income,Married couples with other relatives,0.327
1976,Nova Scotia,Market income,Lone-parent families,0.538
1976,Nova Scotia,Market income,Male lone-parent families,
1976,Nova Scotia,Market income,Female lone-parent families,0.476
1976,Nova Scotia,Market income,"Female lone-parent families, no earners",
1976,Nova Scotia,Market income,"Female lone-parent families, one earner",
1976,Nova Scotia,Market income,"Female lone-parent families, two or more earners",
1976,Nova Scotia,Market income,Other non-elderly families,
1976,Nova Scotia,Market income,Unattached individuals,0.587
1976,Nova Scotia,Market income,Elderly males,
1976,Nova Scotia,Market income,"Elderly males, non-earner",
1976,Nova Scotia,Market income,"Elderly males, earner",
1976,Nova Scotia,Market income,Elderly females,0.738
1976,Nova Scotia,Market income,"Elderly females, non-earner",0.723
1976,Nova Scotia,Market income,"Elderly females, earner",
1976,Nova Scotia,Market income,Non-elderly males,0.445
1976,Nova Scotia,Market income,"Non-elderly males, non-earner",
1976,Nova Scotia,Market income,"Non-elderly males, earner",0.33
1976,Nova Scotia,Market income,Non-elderly females,0.491
1976,Nova Scotia,Market income,"Non-elderly females, non-earner",
1976,Nova Scotia,Market income,"Non-elderly females, earner",0.345
1976,Nova Scotia,Total income,All family units,0.369
1976,Nova Scotia,Total income,"Economic families, two persons or more",0.308
1976,Nova Scotia,Total income,Elderly families,0.321
1976,Nova Scotia,Total income,Elderly married couples,0.234
1976,Nova Scotia,Total income,Other elderly families,0.314
1976,Nova Scotia,Total income,Non-elderly families,0.294
1976,Nova Scotia,Total income,Married couples,0.307
1976,Nova Scotia,Total income,"Married couples, no earners",
1976,Nova Scotia,Total income,"Married couples, one earner",0.258
1976,Nova Scotia,Total income,"Married couples, two earners",0.263
1976,Nova Scotia,Total income,Two-parent families with children,0.262
1976,Nova Scotia,Total income,"Two-parent families with children, no earners",
1976,Nova Scotia,Total income,"Two-parent families with children, one earner",0.245
1976,Nova Scotia,Total income,"Two-parent families with children, two earners",0.22
1976,Nova Scotia,Total income,"Two-parent families with children, three or more earners",0.258
1976,Nova Scotia,Total income,Married couples with other relatives,0.278
1976,Nova Scotia,Total income,Lone-parent families,0.37
1976,Nova Scotia,Total income,Male lone-parent families,
1976,Nova Scotia,Total income,Female lone-parent families,0.249
1976,Nova Scotia,Total income,"Female lone-parent families, no earners",
1976,Nova Scotia,Total income,"Female lone-parent families, one earner",
1976,Nova Scotia,Total income,"Female lone-parent families, two or more earners",
1976,Nova Scotia,Total income,Other non-elderly families,
1976,Nova Scotia,Total income,Unattached individuals,0.399
1976,Nova Scotia,Total income,Elderly males,
1976,Nova Scotia,Total income,"Elderly males, non-earner",
1976,Nova Scotia,Total income,"Elderly males, earner",
1976,Nova Scotia,Total income,Elderly females,0.24
1976,Nova Scotia,Total income,"Elderly females, non-earner",0.187
1976,Nova Scotia,Total income,"Elderly females, earner",
1976,Nova Scotia,Total income,Non-elderly males,0.377
1976,Nova Scotia,Total income,"Non-elderly males, non-earner",
1976,Nova Scotia,Total income,"Non-elderly males, earner",0.31
1976,Nova Scotia,Total income,Non-elderly females,0.428
1976,Nova Scotia,Total income,"Non-elderly females, non-earner",
1976,Nova Scotia,Total income,"Non-elderly females, earner",0.338
1976,Nova Scotia,After-tax income,All family units,0.342
1976,Nova Scotia,After-tax income,"Economic families, two persons or more",0.278
1976,Nova Scotia,After-tax income,Elderly families,0.292
1976,Nova Scotia,After-tax income,Elderly married couples,0.211
1976,Nova Scotia,After-tax income,Other elderly families,0.29
1976,Nova Scotia,After-tax income,Non-elderly families,0.267
1976,Nova Scotia,After-tax income,Married couples,0.276
1976,Nova Scotia,After-tax income,"Married couples, no earners",
1976,Nova Scotia,After-tax income,"Married couples, one earner",0.231
1976,Nova Scotia,After-tax income,"Married couples, two earners",0.233
1976,Nova Scotia,After-tax income,Two-parent families with children,0.235
1976,Nova Scotia,After-tax income,"Two-parent families with children, no earners",
1976,Nova Scotia,After-tax income,"Two-parent families with children, one earner",0.221
1976,Nova Scotia,After-tax income,"Two-parent families with children, two earners",0.194
1976,Nova Scotia,After-tax income,"Two-parent families with children, three or more earners",0.217
1976,Nova Scotia,After-tax income,Married couples with other relatives,0.255
1976,Nova Scotia,After-tax income,Lone-parent families,0.335
1976,Nova Scotia,After-tax income,Male lone-parent families,
1976,Nova Scotia,After-tax income,Female lone-parent families,0.234
1976,Nova Scotia,After-tax income,"Female lone-parent families, no earners",
1976,Nova Scotia,After-tax income,"Female lone-parent families, one earner",
1976,Nova Scotia,After-tax income,"Female lone-parent families, two or more earners",
1976,Nova Scotia,After-tax income,Other non-elderly families,
1976,Nova Scotia,After-tax income,Unattached individuals,0.358
1976,Nova Scotia,After-tax income,Elderly males,
1976,Nova Scotia,After-tax income,"Elderly males, non-earner",
1976,Nova Scotia,After-tax income,"Elderly males, earner",
1976,Nova Scotia,After-tax income,Elderly females,0.232
1976,Nova Scotia,After-tax income,"Elderly females, non-earner",0.187
1976,Nova Scotia,After-tax income,"Elderly females, earner",
1976,Nova Scotia,After-tax income,Non-elderly males,0.327
1976,Nova Scotia,After-tax income,"Non-elderly males, non-earner",
1976,Nova Scotia,After-tax income,"Non-elderly males, earner",0.259
1976,Nova Scotia,After-tax income,Non-elderly females,0.405
1976,Nova Scotia,After-tax income,"Non-elderly females, non-earner",
1976,Nova Scotia,After-tax income,"Non-elderly females, earner",0.314
1976,New Brunswick,Market income,All family units,0.467
1976,New Brunswick,Market income,"Economic families, two persons or more",0.403
1976,New Brunswick,Market income,Elderly families,0.64
1976,New Brunswick,Market income,Elderly married couples,0.69
1976,New Brunswick,Market income,Other elderly families,0.568
1976,New Brunswick,Market income,Non-elderly families,0.354
1976,New Brunswick,Market income,Married couples,0.318
1976,New Brunswick,Market income,"Married couples, no earners",
1976,New Brunswick,Market income,"Married couples, one earner",0.314
1976,New Brunswick,Market income,"Married couples, two earners",0.232
1976,New Brunswick,Market income,Two-parent families with children,0.336
1976,New Brunswick,Market income,"Two-parent families with children, no earners",
1976,New Brunswick,Market income,"Two-parent families with children, one earner",0.326
1976,New Brunswick,Market income,"Two-parent families with children, two earners",0.305
1976,New Brunswick,Market income,"Two-parent families with children, three or more earners",0.252
1976,New Brunswick,Market income,Married couples with other relatives,0.248
1976,New Brunswick,Market income,Lone-parent families,0.587
1976,New Brunswick,Market income,Male lone-parent families,
1976,New Brunswick,Market income,Female lone-parent families,0.581
1976,New Brunswick,Market income,"Female lone-parent families, no earners",
1976,New Brunswick,Market income,"Female lone-parent families, one earner",0.41
1976,New Brunswick,Market income,"Female lone-parent families, two or more earners",
1976,New Brunswick,Market income,Other non-elderly families,
1976,New Brunswick,Market income,Unattached individuals,0.638
1976,New Brunswick,Market income,Elderly males,
1976,New Brunswick,Market income,"Elderly males, non-earner",
1976,New Brunswick,Market income,"Elderly males, earner",
1976,New Brunswick,Market income,Elderly females,0.701
1976,New Brunswick,Market income,"Elderly females, non-earner",
1976,New Brunswick,Market income,"Elderly females, earner",
1976,New Brunswick,Market income,Non-elderly males,0.544
1976,New Brunswick,Market income,"Non-elderly males, non-earner",
1976,New Brunswick,Market income,"Non-elderly males, earner",0.427
1976,New Brunswick,Market income,Non-elderly females,0.595
1976,New Brunswick,Market income,"Non-elderly females, non-earner",
1976,New Brunswick,Market income,"Non-elderly females, earner",
1976,New Brunswick,Total income,All family units,0.368
1976,New Brunswick,Total income,"Economic families, two persons or more",0.309
1976,New Brunswick,Total income,Elderly families,0.31
1976,New Brunswick,Total income,Elderly married couples,0.289
1976,New Brunswick,Total income,Other elderly families,0.285
1976,New Brunswick,Total income,Non-elderly families,0.293
1976,New Brunswick,Total income,Married couples,0.28
1976,New Brunswick,Total income,"Married couples, no earners",
1976,New Brunswick,Total income,"Married couples, one earner",0.272
1976,New Brunswick,Total income,"Married couples, two earners",0.213
1976,New Brunswick,Total income,Two-parent families with children,0.277
1976,New Brunswick,Total income,"Two-parent families with children, no earners",
1976,New Brunswick,Total income,"Two-parent families with children, one earner",0.249
1976,New Brunswick,Total income,"Two-parent families with children, two earners",0.258
1976,New Brunswick,Total income,"Two-parent families with children, three or more earners",0.224
1976,New Brunswick,Total income,Married couples with other relatives,0.219
1976,New Brunswick,Total income,Lone-parent families,0.314
1976,New Brunswick,Total income,Male lone-parent families,
1976,New Brunswick,Total income,Female lone-parent families,0.289
1976,New Brunswick,Total income,"Female lone-parent families, no earners",
