Year,GEO,Economic family type,Income concept,After-tax income quintile,Average income (Dollars),Share of income (Percent)
1976,Canada,Unattached individuals,Market income,Fourth quintile,36100,27.4
1976,Canada,Unattached individuals,Market income,Highest quintile,67200,51.1
1976,Canada,Unattached individuals,Total income,Total of quintiles,30000,100
1976,Canada,Unattached individuals,Total income,Lowest quintile,6500,4.3
1976,Canada,Unattached individuals,Total income,Second quintile,13500,9
1976,Canada,Unattached individuals,Total income,Third quintile,23600,15.7
1976,Canada,Unattached individuals,Total income,Fourth quintile,38200,25.4
1976,Canada,Unattached individuals,Total income,Highest quintile,68400,45.5
1976,Canada,Unattached individuals,After-tax income,Total of quintiles,26200,100
1976,Canada,Unattached individuals,After-tax income,Lowest quintile,6400,4.9
1976,Canada,Unattached individuals,After-tax income,Second quintile,13200,10.1
1976,Canada,Unattached individuals,After-tax income,Third quintile,21900,16.7
1976,Canada,Unattached individuals,After-tax income,Fourth quintile,32900,25.1
1976,Canada,Unattached individuals,After-tax income,Highest quintile,56800,43.3
1977,Canada,All family units,Market income,Total of quintiles,56200,100
1977,Canada,All family units,Market income,Lowest quintile,5300,1.9
1977,Canada,All family units,Market income,Second quintile,27400,9.7
1977,Canada,All family units,Market income,Third quintile,50900,18.1
1977,Canada,All family units,Market income,Fourth quintile,74400,26.5
1977,Canada,All family units,Market income,Highest quintile,122800,43.7
1977,Canada,All family units,Total income,Total of quintiles,61600,100
1977,Canada,All family units,Total income,Lowest quintile,12300,4
1977,Canada,All family units,Total income,Second quintile,34100,11.1
1977,Canada,All family units,Total income,Third quintile,55700,18.1
1977,Canada,All family units,Total income,Fourth quintile,78600,25.5
1977,Canada,All family units,Total income,Highest quintile,127100,41.3
1977,Canada,All family units,After-tax income,Total of quintiles,52600,100
1977,Canada,All family units,After-tax income,Lowest quintile,12000,4.6
1977,Canada,All family units,After-tax income,Second quintile,31300,11.9
1977,Canada,All family units,After-tax income,Third quintile,48700,18.5
1977,Canada,All family units,After-tax income,Fourth quintile,66700,25.3
1977,Canada,All family units,After-tax income,Highest quintile,104500,39.7
1977,Canada,"Economic families, two persons or more",Market income,Total of quintiles,66600,100
1977,Canada,"Economic families, two persons or more",Market income,Lowest quintile,12100,3.6
1977,Canada,"Economic families, two persons or more",Market income,Second quintile,41900,12.6
1977,Canada,"Economic families, two persons or more",Market income,Third quintile,62600,18.8
1977,Canada,"Economic families, two persons or more",Market income,Fourth quintile,84200,25.3
1977,Canada,"Economic families, two persons or more",Market income,Highest quintile,132200,39.7
1977,Canada,"Economic families, two persons or more",Total income,Total of quintiles,72600,100
1977,Canada,"Economic families, two persons or more",Total income,Lowest quintile,22100,6.1
1977,Canada,"Economic families, two persons or more",Total income,Second quintile,48200,13.3
1977,Canada,"Economic families, two persons or more",Total income,Third quintile,67300,18.5
1977,Canada,"Economic families, two persons or more",Total income,Fourth quintile,88600,24.4
1977,Canada,"Economic families, two persons or more",Total income,Highest quintile,136700,37.7
1977,Canada,"Economic families, two persons or more",After-tax income,Total of quintiles,61900,100
1977,Canada,"Economic families, two persons or more",After-tax income,Lowest quintile,21400,6.9
1977,Canada,"Economic families, two persons or more",After-tax income,Second quintile,43400,14
1977,Canada,"Economic families, two persons or more",After-tax income,Third quintile,58200,18.8
1977,Canada,"Economic families, two persons or more",After-tax income,Fourth quintile,74900,24.2
1977,Canada,"Economic families, two persons or more",After-tax income,Highest quintile,111800,36.1
1977,Canada,Unattached individuals,Market income,Total of quintiles,26000,100
1977,Canada,Unattached individuals,Market income,Lowest quintile,2000,1.5
1977,Canada,Unattached individuals,Market income,Second quintile,4600,3.5
1977,Canada,Unattached individuals,Market income,Third quintile,19200,14.8
1977,Canada,Unattached individuals,Market income,Fourth quintile,36300,28
1977,Canada,Unattached individuals,Market income,Highest quintile,67700,52.2
1977,Canada,Unattached individuals,Total income,Total of quintiles,29800,100
1977,Canada,Unattached individuals,Total income,Lowest quintile,5900,3.9
1977,Canada,Unattached individuals,Total income,Second quintile,12600,8.5
1977,Canada,Unattached individuals,Total income,Third quintile,23400,15.7
1977,Canada,Unattached individuals,Total income,Fourth quintile,38600,25.8
1977,Canada,Unattached individuals,Total income,Highest quintile,68800,46.1
1977,Canada,Unattached individuals,After-tax income,Total of quintiles,25700,100
1977,Canada,Unattached individuals,After-tax income,Lowest quintile,5800,4.5
1977,Canada,Unattached individuals,After-tax income,Second quintile,12600,9.8
1977,Canada,Unattached individuals,After-tax income,Third quintile,21700,16.8
1977,Canada,Unattached individuals,After-tax income,Fourth quintile,33300,25.9
1977,Canada,Unattached individuals,After-tax income,Highest quintile,55400,43
1978,Canada,All family units,Market income,Total of quintiles,57100,100
1978,Canada,All family units,Market income,Lowest quintile,5800,2
1978,Canada,All family units,Market income,Second quintile,27500,9.6
1978,Canada,All family units,Market income,Third quintile,50900,17.8
1978,Canada,All family units,Market income,Fourth quintile,74300,26
1978,Canada,All family units,Market income,Highest quintile,126900,44.5
1978,Canada,All family units,Total income,Total of quintiles,62500,100
1978,Canada,All family units,Total income,Lowest quintile,13000,4.1
1978,Canada,All family units,Total income,Second quintile,34300,11
1978,Canada,All family units,Total income,Third quintile,55700,17.8
1978,Canada,All family units,Total income,Fourth quintile,78500,25.1
1978,Canada,All family units,Total income,Highest quintile,131200,42
1978,Canada,All family units,After-tax income,Total of quintiles,53500,100
1978,Canada,All family units,After-tax income,Lowest quintile,12700,4.7
1978,Canada,All family units,After-tax income,Second quintile,31500,11.8
1978,Canada,All family units,After-tax income,Third quintile,48900,18.3
1978,Canada,All family units,After-tax income,Fourth quintile,66800,25
1978,Canada,All family units,After-tax income,Highest quintile,107800,40.3
1978,Canada,"Economic families, two persons or more",Market income,Total of quintiles,68000,100
1978,Canada,"Economic families, two persons or more",Market income,Lowest quintile,12900,3.8
1978,Canada,"Economic families, two persons or more",Market income,Second quintile,42500,12.5
1978,Canada,"Economic families, two persons or more",Market income,Third quintile,63000,18.5
1978,Canada,"Economic families, two persons or more",Market income,Fourth quintile,83900,24.7
1978,Canada,"Economic families, two persons or more",Market income,Highest quintile,137500,40.5
1978,Canada,"Economic families, two persons or more",Total income,Total of quintiles,73900,100
1978,Canada,"Economic families, two persons or more",Total income,Lowest quintile,23100,6.3
1978,Canada,"Economic families, two persons or more",Total income,Second quintile,48600,13.2
1978,Canada,"Economic families, two persons or more",Total income,Third quintile,67900,18.4
1978,Canada,"Economic families, two persons or more",Total income,Fourth quintile,88200,23.9
1978,Canada,"Economic families, two persons or more",Total income,Highest quintile,141800,38.4
1978,Canada,"Economic families, two persons or more",After-tax income,Total of quintiles,63200,100
1978,Canada,"Economic families, two persons or more",After-tax income,Lowest quintile,22500,7.1
1978,Canada,"Economic families, two persons or more",After-tax income,Second quintile,44000,13.9
1978,Canada,"Economic families, two persons or more",After-tax income,Third quintile,58700,18.6
1978,Canada,"Economic families, two persons or more",After-tax income,Fourth quintile,75000,23.7
1978,Canada,"Economic families, two persons or more",After-tax income,Highest quintile,115700,36.6
1978,Canada,Unattached individuals,Market income,Total of quintiles,26500,100
1978,Canada,Unattached individuals,Market income,Lowest quintile,1400,1.1
1978,Canada,Unattached individuals,Market income,Second quintile,6000,4.5
1978,Canada,Unattached individuals,Market income,Third quintile,19800,14.9
1978,Canada,Unattached individuals,Market income,Fourth quintile,36000,27.1
1978,Canada,Unattached individuals,Market income,Highest quintile,69500,52.4
1978,Canada,Unattached individuals,Total income,Total of quintiles,30600,100
1978,Canada,Unattached individuals,Total income,Lowest quintile,5500,3.6
1978,Canada,Unattached individuals,Total income,Second quintile,13400,8.8
1978,Canada,Unattached individuals,Total income,Third quintile,24200,15.8
1978,Canada,Unattached individuals,Total income,Fourth quintile,38900,25.4
1978,Canada,Unattached individuals,Total income,Highest quintile,70900,46.4
1978,Canada,Unattached individuals,After-tax income,Total of quintiles,26600,100
1978,Canada,Unattached individuals,After-tax income,Lowest quintile,5500,4.1
1978,Canada,Unattached individuals,After-tax income,Second quintile,13300,10
1978,Canada,Unattached individuals,After-tax income,Third quintile,22400,16.9
1978,Canada,Unattached individuals,After-tax income,Fourth quintile,33600,25.3
1978,Canada,Unattached individuals,After-tax income,Highest quintile,58100,43.7
1979,Canada,All family units,Market income,Total of quintiles,57400,100
1979,Canada,All family units,Market income,Lowest quintile,6500,2.3
1979,Canada,All family units,Market income,Second quintile,28000,9.8
1979,Canada,All family units,Market income,Third quintile,51500,17.9
1979,Canada,All family units,Market income,Fourth quintile,75000,26.1
1979,Canada,All family units,Market income,Highest quintile,126200,44
1979,Canada,All family units,Total income,Total of quintiles,62500,100
1979,Canada,All family units,Total income,Lowest quintile,13600,4.3
1979,Canada,All family units,Total income,Second quintile,34200,11
1979,Canada,All family units,Total income,Third quintile,55700,17.8
1979,Canada,All family units,Total income,Fourth quintile,78900,25.3
1979,Canada,All family units,Total income,Highest quintile,130000,41.6
1979,Canada,All family units,After-tax income,Total of quintiles,53000,100
1979,Canada,All family units,After-tax income,Lowest quintile,13300,5
1979,Canada,All family units,After-tax income,Second quintile,31200,11.8
1979,Canada,All family units,After-tax income,Third quintile,48200,18.2
1979,Canada,All family units,After-tax income,Fourth quintile,66600,25.1
1979,Canada,All family units,After-tax income,Highest quintile,105900,39.9
1979,Canada,"Economic families, two persons or more",Market income,Total of quintiles,68400,100
1979,Canada,"Economic families, two persons or more",Market income,Lowest quintile,13300,3.9
1979,Canada,"Economic families, two persons or more",Market income,Second quintile,43000,12.6
1979,Canada,"Economic families, two persons or more",Market income,Third quintile,63900,18.7
1979,Canada,"Economic families, two persons or more",Market income,Fourth quintile,85600,25
1979,Canada,"Economic families, two persons or more",Market income,Highest quintile,136300,39.8
1979,Canada,"Economic families, two persons or more",Total income,Total of quintiles,73900,100
1979,Canada,"Economic families, two persons or more",Total income,Lowest quintile,23100,6.2
1979,Canada,"Economic families, two persons or more",Total income,Second quintile,48600,13.1
1979,Canada,"Economic families, two persons or more",Total income,Third quintile,68200,18.5
1979,Canada,"Economic families, two persons or more",Total income,Fourth quintile,89400,24.2
1979,Canada,"Economic families, two persons or more",Total income,Highest quintile,140200,37.9
1979,Canada,"Economic families, two persons or more",After-tax income,Total of quintiles,62700,100
1979,Canada,"Economic families, two persons or more",After-tax income,Lowest quintile,22400,7.1
1979,Canada,"Economic families, two persons or more",After-tax income,Second quintile,43500,13.9
1979,Canada,"Economic families, two persons or more",After-tax income,Third quintile,58500,18.7
1979,Canada,"Economic families, two persons or more",After-tax income,Fourth quintile,74900,23.9
1979,Canada,"Economic families, two persons or more",After-tax income,Highest quintile,114100,36.4
1979,Canada,Unattached individuals,Market income,Total of quintiles,27600,100
1979,Canada,Unattached individuals,Market income,Lowest quintile,2500,1.8
1979,Canada,Unattached individuals,Market income,Second quintile,6000,4.3
1979,Canada,Unattached individuals,Market income,Third quintile,22000,16
1979,Canada,Unattached individuals,Market income,Fourth quintile,37500,27.2
1979,Canada,Unattached individuals,Market income,Highest quintile,69800,50.7
1979,Canada,Unattached individuals,Total income,Total of quintiles,31500,100
1979,Canada,Unattached individuals,Total income,Lowest quintile,7200,4.6
1979,Canada,Unattached individuals,Total income,Second quintile,14200,9
1979,Canada,Unattached individuals,Total income,Third quintile,25300,16.1
1979,Canada,Unattached individuals,Total income,Fourth quintile,39500,25.1
1979,Canada,Unattached individuals,Total income,Highest quintile,71200,45.2
1979,Canada,Unattached individuals,After-tax income,Total of quintiles,26900,100
1979,Canada,Unattached individuals,After-tax income,Lowest quintile,7200,5.3
1979,Canada,Unattached individuals,After-tax income,Second quintile,14000,10.4
1979,Canada,Unattached individuals,After-tax income,Third quintile,23000,17.1
1979,Canada,Unattached individuals,After-tax income,Fourth quintile,33800,25.1
1979,Canada,Unattached individuals,After-tax income,Highest quintile,56600,42.1
1980,Canada,All family units,Market income,Total of quintiles,58200,100
1980,Canada,All family units,Market income,Lowest quintile,6500,2.2
1980,Canada,All family units,Market income,Second quintile,27600,9.5
1980,Canada,All family units,Market income,Third quintile,52100,17.9
1980,Canada,All family units,Market income,Fourth quintile,76100,26.1
1980,Canada,All family units,Market income,Highest quintile,128700,44.2
1980,Canada,All family units,Total income,Total of quintiles,63700,100
1980,Canada,All family units,Total income,Lowest quintile,13800,4.3
1980,Canada,All family units,Total income,Second quintile,35000,11
1980,Canada,All family units,Total income,Third quintile,57300,18
1980,Canada,All family units,Total income,Fourth quintile,80200,25.2
1980,Canada,All family units,Total income,Highest quintile,132400,41.5
1980,Canada,All family units,After-tax income,Total of quintiles,54000,100
1980,Canada,All family units,After-tax income,Lowest quintile,13400,5
1980,Canada,All family units,After-tax income,Second quintile,31800,11.8
1980,Canada,All family units,After-tax income,Third quintile,49400,18.3
1980,Canada,All family units,After-tax income,Fourth quintile,67400,25
1980,Canada,All family units,After-tax income,Highest quintile,107900,40
1980,Canada,"Economic families, two persons or more",Market income,Total of quintiles,69900,100
1980,Canada,"Economic families, two persons or more",Market income,Lowest quintile,13500,3.9
1980,Canada,"Economic families, two persons or more",Market income,Second quintile,43400,12.4
1980,Canada,"Economic families, two persons or more",Market income,Third quintile,65100,18.6
1980,Canada,"Economic families, two persons or more",Market income,Fourth quintile,87100,24.9
1980,Canada,"Economic families, two persons or more",Market income,Highest quintile,140300,40.2
1980,Canada,"Economic families, two persons or more",Total income,Total of quintiles,75800,100
1980,Canada,"Economic families, two persons or more",Total income,Lowest quintile,24100,6.4
1980,Canada,"Economic families, two persons or more",Total income,Second quintile,49900,13.2
1980,Canada,"Economic families, two persons or more",Total income,Third quintile,70100,18.5
1980,Canada,"Economic families, two persons or more",Total income,Fourth quintile,91100,24
1980,Canada,"Economic families, two persons or more",Total income,Highest quintile,144000,38
1980,Canada,"Economic families, two persons or more",After-tax income,Total of quintiles,64100,100
1980,Canada,"Economic families, two persons or more",After-tax income,Lowest quintile,23200,7.2
1980,Canada,"Economic families, two persons or more",After-tax income,Second quintile,44500,13.9
1980,Canada,"Economic families, two persons or more",After-tax income,Third quintile,59800,18.7
1980,Canada,"Economic families, two persons or more",After-tax income,Fourth quintile,76000,23.7
1980,Canada,"Economic families, two persons or more",After-tax income,Highest quintile,117000,36.5
1980,Canada,Unattached individuals,Market income,Total of quintiles,27000,100
1980,Canada,Unattached individuals,Market income,Lowest quintile,2600,1.9
1980,Canada,Unattached individuals,Market income,Second quintile,6100,4.5
1980,Canada,Unattached individuals,Market income,Third quintile,20200,15
1980,Canada,Unattached individuals,Market income,Fourth quintile,38000,28.2
1980,Canada,Unattached individuals,Market income,Highest quintile,68000,50.5
1980,Canada,Unattached individuals,Total income,Total of quintiles,31300,100
1980,Canada,Unattached individuals,Total income,Lowest quintile,7300,4.6
1980,Canada,Unattached individuals,Total income,Second quintile,14700,9.4
1980,Canada,Unattached individuals,Total income,Third quintile,24500,15.7
1980,Canada,Unattached individuals,Total income,Fourth quintile,40300,25.7
1980,Canada,Unattached individuals,Total income,Highest quintile,69800,44.5
1980,Canada,Unattached individuals,After-tax income,Total of quintiles,26900,100
1980,Canada,Unattached individuals,After-tax income,Lowest quintile,7100,5.3
1980,Canada,Unattached individuals,After-tax income,Second quintile,14500,10.8
1980,Canada,Unattached individuals,After-tax income,Third quintile,22400,16.6
1980,Canada,Unattached individuals,After-tax income,Fourth quintile,34300,25.5
1980,Canada,Unattached individuals,After-tax income,Highest quintile,56100,41.7
1981,Canada,All family units,Market income,Total of quintiles,57500,100
1981,Canada,All family units,Market income,Lowest quintile,6900,2.4
1981,Canada,All family units,Market income,Second quintile,27600,9.6
1981,Canada,All family units,Market income,Third quintile,51100,17.8
1981,Canada,All family units,Market income,Fourth quintile,75400,26.2
1981,Canada,All family units,Market income,Highest quintile,126700,44
1981,Canada,All family units,Total income,Total of quintiles,63100,100
1981,Canada,All family units,Total income,Lowest quintile,14600,4.6
1981,Canada,All family units,Total income,Second quintile,34900,11.1
1981,Canada,All family units,Total income,Third quintile,56000,17.8
1981,Canada,All family units,Total income,Fourth quintile,79400,25.2
1981,Canada,All family units,Total income,Highest quintile,130500,41.4
1981,Canada,All family units,After-tax income,Total of quintiles,53400,100
1981,Canada,All family units,After-tax income,Lowest quintile,14200,5.3
1981,Canada,All family units,After-tax income,Second quintile,31700,11.9
1981,Canada,All family units,After-tax income,Third quintile,48300,18.1
1981,Canada,All family units,After-tax income,Fourth quintile,66500,24.9
1981,Canada,All family units,After-tax income,Highest quintile,106400,39.8
1981,Canada,"Economic families, two persons or more",Market income,Total of quintiles,68700,100
1981,Canada,"Economic families, two persons or more",Market income,Lowest quintile,13700,4
1981,Canada,"Economic families, two persons or more",Market income,Second quintile,42200,12.3
1981,Canada,"Economic families, two persons or more",Market income,Third quintile,63700,18.6
1981,Canada,"Economic families, two persons or more",Market income,Fourth quintile,86100,25.1
1981,Canada,"Economic families, two persons or more",Market income,Highest quintile,137800,40.1
1981,Canada,"Economic families, two persons or more",Total income,Total of quintiles,74600,100
1981,Canada,"Economic families, two persons or more",Total income,Lowest quintile,24300,6.5
1981,Canada,"Economic families, two persons or more",Total income,Second quintile,48600,13
1981,Canada,"Economic families, two persons or more",Total income,Third quintile,68500,18.4
1981,Canada,"Economic families, two persons or more",Total income,Fourth quintile,89900,24.1
1981,Canada,"Economic families, two persons or more",Total income,Highest quintile,141600,38
1981,Canada,"Economic families, two persons or more",After-tax income,Total of quintiles,63100,100
1981,Canada,"Economic families, two persons or more",After-tax income,Lowest quintile,23400,7.4
1981,Canada,"Economic families, two persons or more",After-tax income,Second quintile,43400,13.7
1981,Canada,"Economic families, two persons or more",After-tax income,Third quintile,58500,18.5
1981,Canada,"Economic families, two persons or more",After-tax income,Fourth quintile,75000,23.8
1981,Canada,"Economic families, two persons or more",After-tax income,Highest quintile,115100,36.5
1981,Canada,Unattached individuals,Market income,Total of quintiles,28300,100
1981,Canada,Unattached individuals,Market income,Lowest quintile,2900,2
1981,Canada,Unattached individuals,Market income,Second quintile,6600,4.7
1981,Canada,Unattached individuals,Market income,Third quintile,21200,15
1981,Canada,Unattached individuals,Market income,Fourth quintile,39200,27.7
1981,Canada,Unattached individuals,Market income,Highest quintile,71600,50.6
1981,Canada,Unattached individuals,Total income,Total of quintiles,32900,100
1981,Canada,Unattached individuals,Total income,Lowest quintile,8300,5
1981,Canada,Unattached individuals,Total income,Second quintile,15700,9.5
1981,Canada,Unattached individuals,Total income,Third quintile,25900,15.7
1981,Canada,Unattached individuals,Total income,Fourth quintile,41400,25.1
1981,Canada,Unattached individuals,Total income,Highest quintile,73400,44.6
1981,Canada,Unattached individuals,After-tax income,Total of quintiles,28100,100
1981,Canada,Unattached individuals,After-tax income,Lowest quintile,8200,5.8
1981,Canada,Unattached individuals,After-tax income,Second quintile,15300,10.9
1981,Canada,Unattached individuals,After-tax income,Third quintile,23500,16.7
1981,Canada,Unattached individuals,After-tax income,Fourth quintile,35000,24.9
1981,Canada,Unattached individuals,After-tax income,Highest quintile,58500,41.6
1982,Canada,All family units,Market income,Total of quintiles,55000,100
1982,Canada,All family units,Market income,Lowest quintile,6200,2.2
1982,Canada,All family units,Market income,Second quintile,24900,9
1982,Canada,All family units,Market income,Third quintile,47600,17.3
1982,Canada,All family units,Market income,Fourth quintile,71800,26.1
1982,Canada,All family units,Market income,Highest quintile,124800,45.4
1982,Canada,All family units,Total income,Total of quintiles,61600,100
1982,Canada,All family units,Total income,Lowest quintile,14300,4.6
1982,Canada,All family units,Total income,Second quintile,33500,10.9
1982,Canada,All family units,Total income,Third quintile,53900,17.5
1982,Canada,All family units,Total income,Fourth quintile,76900,25
1982,Canada,All family units,Total income,Highest quintile,129600,42.1
1982,Canada,All family units,After-tax income,Total of quintiles,52000,100
1982,Canada,All family units,After-tax income,Lowest quintile,13800,5.3
1982,Canada,All family units,After-tax income,Second quintile,30600,11.8
1982,Canada,All family units,After-tax income,Third quintile,46600,17.9
1982,Canada,All family units,After-tax income,Fourth quintile,64400,24.7
1982,Canada,All family units,After-tax income,Highest quintile,104800,40.3
1982,Canada,"Economic families, two persons or more",Market income,Total of quintiles,65600,100
1982,Canada,"Economic families, two persons or more",Market income,Lowest quintile,12000,3.7
1982,Canada,"Economic families, two persons or more",Market income,Second quintile,38000,11.6
1982,Canada,"Economic families, two persons or more",Market income,Third quintile,59600,18.2
1982,Canada,"Economic families, two persons or more",Market income,Fourth quintile,82600,25.2
1982,Canada,"Economic families, two persons or more",Market income,Highest quintile,135900,41.4
1982,Canada,"Economic families, two persons or more",Total income,Total of quintiles,72800,100
1982,Canada,"Economic families, two persons or more",Total income,Lowest quintile,23500,6.5
1982,Canada,"Economic families, two persons or more",Total income,Second quintile,46300,12.7
1982,Canada,"Economic families, two persons or more",Total income,Third quintile,65900,18.1
1982,Canada,"Economic families, two persons or more",Total income,Fourth quintile,87700,24.1
1982,Canada,"Economic families, two persons or more",Total income,Highest quintile,140800,38.7
1982,Canada,"Economic families, two persons or more",After-tax income,Total of quintiles,61500,100
1982,Canada,"Economic families, two persons or more",After-tax income,Lowest quintile,22700,7.4
1982,Canada,"Economic families, two persons or more",After-tax income,Second quintile,41700,13.6
1982,Canada,"Economic families, two persons or more",After-tax income,Third quintile,56400,18.4
1982,Canada,"Economic families, two persons or more",After-tax income,Fourth quintile,73000,23.8
1982,Canada,"Economic families, two persons or more",After-tax income,Highest quintile,113500,36.9
1982,Canada,Unattached individuals,Market income,Total of quintiles,27800,100
1982,Canada,Unattached individuals,Market income,Lowest quintile,3100,2.2
1982,Canada,Unattached individuals,Market income,Second quintile,5600,4
1982,Canada,Unattached individuals,Market income,Third quintile,19900,14.3
1982,Canada,Unattached individuals,Market income,Fourth quintile,38100,27.4
1982,Canada,Unattached individuals,Market income,Highest quintile,72400,52.1
1982,Canada,Unattached individuals,Total income,Total of quintiles,32800,100
1982,Canada,Unattached individuals,Total income,Lowest quintile,8100,4.9
1982,Canada,Unattached individuals,Total income,Second quintile,15500,9.5
1982,Canada,Unattached individuals,Total income,Third quintile,25400,15.5
1982,Canada,Unattached individuals,Total income,Fourth quintile,40800,24.9
1982,Canada,Unattached individuals,Total income,Highest quintile,74200,45.2
1982,Canada,Unattached individuals,After-tax income,Total of quintiles,27800,100
1982,Canada,Unattached individuals,After-tax income,Lowest quintile,8000,5.8
1982,Canada,Unattached individuals,After-tax income,Second quintile,15300,11
1982,Canada,Unattached individuals,After-tax income,Third quintile,22900,16.5
1982,Canada,Unattached individuals,After-tax income,Fourth quintile,34400,24.8
1982,Canada,Unattached individuals,After-tax income,Highest quintile,58300,42
1983,Canada,All family units,Market income,Total of quintiles,53500,100
1983,Canada,All family units,Market income,Lowest quintile,5300,2
1983,Canada,All family units,Market income,Second quintile,22200,8.3
1983,Canada,All family units,Market income,Third quintile,45200,16.9
1983,Canada,All family units,Market income,Fourth quintile,69900,26.2
1983,Canada,All family units,Market income,Highest quintile,124700,46.7
1983,Canada,All family units,Total income,Total of quintiles,60200,100
1983,Canada,All family units,Total income,Lowest quintile,13200,4.4
1983,Canada,All family units,Total income,Second quintile,31500,10.5
1983,Canada,All family units,Total income,Third quintile,51800,17.2
1983,Canada,All family units,Total income,Fourth quintile,75400,25
1983,Canada,All family units,Total income,Highest quintile,129200,42.9
1983,Canada,All family units,After-tax income,Total of quintiles,50600,100
1983,Canada,All family units,After-tax income,Lowest quintile,12900,5.1
1983,Canada,All family units,After-tax income,Second quintile,28800,11.4
1983,Canada,All family units,After-tax income,Third quintile,44900,17.7
1983,Canada,All family units,After-tax income,Fourth quintile,63000,24.9
1983,Canada,All family units,After-tax income,Highest quintile,103600,40.9
1983,Canada,"Economic families, two persons or more",Market income,Total of quintiles,64400,100
1983,Canada,"Economic families, two persons or more",Market income,Lowest quintile,11000,3.4
1983,Canada,"Economic families, two persons or more",Market income,Second quintile,35900,11.1
1983,Canada,"Economic families, two persons or more",Market income,Third quintile,57800,18
1983,Canada,"Economic families, two persons or more",Market income,Fourth quintile,81200,25.2
1983,Canada,"Economic families, two persons or more",Market income,Highest quintile,136200,42.3
1983,Canada,"Economic families, two persons or more",Total income,Total of quintiles,71700,100
1983,Canada,"Economic families, two persons or more",Total income,Lowest quintile,22600,6.3
1983,Canada,"Economic families, two persons or more",Total income,Second quintile,44700,12.5
1983,Canada,"Economic families, two persons or more",Total income,Third quintile,64200,17.9
1983,Canada,"Economic families, two persons or more",Total income,Fourth quintile,86600,24.1
1983,Canada,"Economic families, two persons or more",Total income,Highest quintile,140500,39.2
1983,Canada,"Economic families, two persons or more",After-tax income,Total of quintiles,60200,100
1983,Canada,"Economic families, two persons or more",After-tax income,Lowest quintile,21900,7.3
1983,Canada,"Economic families, two persons or more",After-tax income,Second quintile,40200,13.3
1983,Canada,"Economic families, two persons or more",After-tax income,Third quintile,54900,18.2
1983,Canada,"Economic families, two persons or more",After-tax income,Fourth quintile,71900,23.9
1983,Canada,"Economic families, two persons or more",After-tax income,Highest quintile,112400,37.3
1983,Canada,Unattached individuals,Market income,Total of quintiles,25600,100
1983,Canada,Unattached individuals,Market income,Lowest quintile,2400,1.9
1983,Canada,Unattached individuals,Market income,Second quintile,4800,3.8
