Year,GEO,Economic family type,Income concept,After-tax income quintile,Average income (Dollars),Share of income (Percent)
1976,Canada,Unattached individuals,Market income,Fourth quintile,36100,27.4
1976,Canada,Unattached individuals,Market income,Highest quintile,67200,51.1
1976,Canada,Unattached individuals,Total income,Total of quintiles,30000,100
1976,Canada,Unattached individuals,Total income,Lowest quintile,6500,4.3
1976,Canada,Unattached individuals,Total income,Second quintile,13500,9
1976,Canada,Unattached individuals,Total income,Third quintile,23600,15.7
1976,Canada,Unattached individuals,Total income,Fourth quintile,38200,25.4
1976,Canada,Unattached individuals,Total income,Highest quintile,68400,45.5
1976,Canada,Unattached individuals,After-tax income,Total of quintiles,26200,100
1976,Canada,Unattached individuals,After-tax income,Lowest quintile,6400,4.9
1976,Canada,Unattached individuals,After-tax income,Second quintile,13200,10.1
1976,Canada,Unattached individuals,After-tax income,Third quintile,21900,16.7
1976,Canada,Unattached individuals,After-tax income,Fourth quintile,32900,25.1
1976,Canada,Unattached individuals,After-tax income,Highest quintile,56800,43.3
1976,Newfoundland and Labrador,All family units,Market income,Total of quintiles,43800,100
1976,Newfoundland and Labrador,All family units,Market income,Lowest quintile,3900,1.8
1976,Newfoundland and Labrador,All family units,Market income,Second quintile,19100,8.7
1976,Newfoundland and Labrador,All family units,Market income,Third quintile,35800,16.3
1976,Newfoundland and Labrador,All family units,Market income,Fourth quintile,59200,27
1976,Newfoundland and Labrador,All family units,Market income,Highest quintile,101100,46.1
1976,Newfoundland and Labrador,All family units,Total income,Total of quintiles,53100,100
1976,Newfoundland and Labrador,All family units,Total income,Lowest quintile,14300,5.4
1976,Newfoundland and Labrador,All family units,Total income,Second quintile,28800,10.9
1976,Newfoundland and Labrador,All family units,Total income,Third quintile,45300,17
1976,Newfoundland and Labrador,All family units,Total income,Fourth quintile,68500,25.8
1976,Newfoundland and Labrador,All family units,Total income,Highest quintile,108800,41
1976,Newfoundland and Labrador,All family units,After-tax income,Total of quintiles,46500,100
1976,Newfoundland and Labrador,All family units,After-tax income,Lowest quintile,13900,6
1976,Newfoundland and Labrador,All family units,After-tax income,Second quintile,27100,11.7
1976,Newfoundland and Labrador,All family units,After-tax income,Third quintile,40800,17.6
1976,Newfoundland and Labrador,All family units,After-tax income,Fourth quintile,59000,25.4
1976,Newfoundland and Labrador,All family units,After-tax income,Highest quintile,91500,39.4
1976,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Total of quintiles,47500,100
1976,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Lowest quintile,5700,2.4
1976,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Second quintile,21700,9.2
1976,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Third quintile,40500,17.1
1976,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Fourth quintile,62100,26.2
1976,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Highest quintile,107100,45.1
1976,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Total of quintiles,57800,100
1976,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Lowest quintile,18300,6.3
1976,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Second quintile,33700,11.7
1976,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Third quintile,50600,17.5
1976,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Fourth quintile,71900,24.9
1976,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Highest quintile,114400,39.6
1976,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Total of quintiles,50500,100
1976,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Lowest quintile,17700,7
1976,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Second quintile,31700,12.5
1976,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Third quintile,45500,18
1976,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Fourth quintile,62200,24.6
1976,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Highest quintile,95500,37.8
1976,Newfoundland and Labrador,Unattached individuals,Market income,Total of quintiles,23400,100
1976,Newfoundland and Labrador,Unattached individuals,Market income,Lowest quintile,,
1976,Newfoundland and Labrador,Unattached individuals,Market income,Second quintile,,
1976,Newfoundland and Labrador,Unattached individuals,Market income,Third quintile,,
1976,Newfoundland and Labrador,Unattached individuals,Market income,Fourth quintile,,
1976,Newfoundland and Labrador,Unattached individuals,Market income,Highest quintile,,
1976,Newfoundland and Labrador,Unattached individuals,Total income,Total of quintiles,27300,100
1976,Newfoundland and Labrador,Unattached individuals,Total income,Lowest quintile,,
1976,Newfoundland and Labrador,Unattached individuals,Total income,Second quintile,,
1976,Newfoundland and Labrador,Unattached individuals,Total income,Third quintile,,
1976,Newfoundland and Labrador,Unattached individuals,Total income,Fourth quintile,,
1976,Newfoundland and Labrador,Unattached individuals,Total income,Highest quintile,,
1976,Newfoundland and Labrador,Unattached individuals,After-tax income,Total of quintiles,23800,100
1976,Newfoundland and Labrador,Unattached individuals,After-tax income,Lowest quintile,,
1976,Newfoundland and Labrador,Unattached individuals,After-tax income,Second quintile,,
1976,Newfoundland and Labrador,Unattached individuals,After-tax income,Third quintile,,
1976,Newfoundland and Labrador,Unattached individuals,After-tax income,Fourth quintile,,
1976,Newfoundland and Labrador,Unattached individuals,After-tax income,Highest quintile,,
1976,Prince Edward Island,All family units,Market income,Total of quintiles,43500,100
1976,Prince Edward Island,All family units,Market income,Lowest quintile,2800,1.3
1976,Prince Edward Island,All family units,Market income,Second quintile,15500,7.1
1976,Prince Edward Island,All family units,Market income,Third quintile,32200,14.8
1976,Prince Edward Island,All family units,Market income,Fourth quintile,56700,26
1976,Prince Edward Island,All family units,Market income,Highest quintile,110400,50.8
1976,Prince Edward Island,All family units,Total income,Total of quintiles,51000,100
1976,Prince Edward Island,All family units,Total income,Lowest quintile,10900,4.3
1976,Prince Edward Island,All family units,Total income,Second quintile,26300,10.3
1976,Prince Edward Island,All family units,Total income,Third quintile,41500,16.3
1976,Prince Edward Island,All family units,Total income,Fourth quintile,62600,24.5
1976,Prince Edward Island,All family units,Total income,Highest quintile,113800,44.6
1976,Prince Edward Island,All family units,After-tax income,Total of quintiles,45800,100
1976,Prince Edward Island,All family units,After-tax income,Lowest quintile,10900,4.8
1976,Prince Edward Island,All family units,After-tax income,Second quintile,25600,11.2
1976,Prince Edward Island,All family units,After-tax income,Third quintile,40000,17.5
1976,Prince Edward Island,All family units,After-tax income,Fourth quintile,56800,24.8
1976,Prince Edward Island,All family units,After-tax income,Highest quintile,95700,41.8
1976,Prince Edward Island,"Economic families, two persons or more",Market income,Total of quintiles,50300,100
1976,Prince Edward Island,"Economic families, two persons or more",Market income,Lowest quintile,6800,2.7
1976,Prince Edward Island,"Economic families, two persons or more",Market income,Second quintile,22800,9.1
1976,Prince Edward Island,"Economic families, two persons or more",Market income,Third quintile,45600,18.1
1976,Prince Edward Island,"Economic families, two persons or more",Market income,Fourth quintile,61600,24.5
1976,Prince Edward Island,"Economic families, two persons or more",Market income,Highest quintile,114800,45.7
1976,Prince Edward Island,"Economic families, two persons or more",Total income,Total of quintiles,58500,100
1976,Prince Edward Island,"Economic families, two persons or more",Total income,Lowest quintile,19100,6.5
1976,Prince Edward Island,"Economic families, two persons or more",Total income,Second quintile,33400,11.4
1976,Prince Edward Island,"Economic families, two persons or more",Total income,Third quintile,53800,18.4
1976,Prince Edward Island,"Economic families, two persons or more",Total income,Fourth quintile,67700,23.1
1976,Prince Edward Island,"Economic families, two persons or more",Total income,Highest quintile,118600,40.5
1976,Prince Edward Island,"Economic families, two persons or more",After-tax income,Total of quintiles,52500,100
1976,Prince Edward Island,"Economic families, two persons or more",After-tax income,Lowest quintile,18900,7.2
1976,Prince Edward Island,"Economic families, two persons or more",After-tax income,Second quintile,32500,12.4
1976,Prince Edward Island,"Economic families, two persons or more",After-tax income,Third quintile,49100,18.7
1976,Prince Edward Island,"Economic families, two persons or more",After-tax income,Fourth quintile,60800,23.2
1976,Prince Edward Island,"Economic families, two persons or more",After-tax income,Highest quintile,100900,38.5
1976,Prince Edward Island,Unattached individuals,Market income,Total of quintiles,18500,100
1976,Prince Edward Island,Unattached individuals,Market income,Lowest quintile,,
1976,Prince Edward Island,Unattached individuals,Market income,Second quintile,,
1976,Prince Edward Island,Unattached individuals,Market income,Third quintile,,
1976,Prince Edward Island,Unattached individuals,Market income,Fourth quintile,,
1976,Prince Edward Island,Unattached individuals,Market income,Highest quintile,,
1976,Prince Edward Island,Unattached individuals,Total income,Total of quintiles,23400,100
1976,Prince Edward Island,Unattached individuals,Total income,Lowest quintile,,
1976,Prince Edward Island,Unattached individuals,Total income,Second quintile,,
1976,Prince Edward Island,Unattached individuals,Total income,Third quintile,,
1976,Prince Edward Island,Unattached individuals,Total income,Fourth quintile,,
1976,Prince Edward Island,Unattached individuals,Total income,Highest quintile,,
1976,Prince Edward Island,Unattached individuals,After-tax income,Total of quintiles,21200,100
1976,Prince Edward Island,Unattached individuals,After-tax income,Lowest quintile,,
1976,Prince Edward Island,Unattached individuals,After-tax income,Second quintile,,
1976,Prince Edward Island,Unattached individuals,After-tax income,Third quintile,,
1976,Prince Edward Island,Unattached individuals,After-tax income,Fourth quintile,,
1976,Prince Edward Island,Unattached individuals,After-tax income,Highest quintile,,
1976,Nova Scotia,All family units,Market income,Total of quintiles,43900,100
1976,Nova Scotia,All family units,Market income,Lowest quintile,4900,2.2
1976,Nova Scotia,All family units,Market income,Second quintile,19400,8.9
1976,Nova Scotia,All family units,Market income,Third quintile,37600,17.1
1976,Nova Scotia,All family units,Market income,Fourth quintile,59600,27.2
1976,Nova Scotia,All family units,Market income,Highest quintile,97900,44.6
1976,Nova Scotia,All family units,Total income,Total of quintiles,50500,100
1976,Nova Scotia,All family units,Total income,Lowest quintile,12100,4.8
1976,Nova Scotia,All family units,Total income,Second quintile,28400,11.3
1976,Nova Scotia,All family units,Total income,Third quintile,44300,17.6
1976,Nova Scotia,All family units,Total income,Fourth quintile,64700,25.6
1976,Nova Scotia,All family units,Total income,Highest quintile,102800,40.7
1976,Nova Scotia,All family units,After-tax income,Total of quintiles,43900,100
1976,Nova Scotia,All family units,After-tax income,Lowest quintile,12000,5.5
1976,Nova Scotia,All family units,After-tax income,Second quintile,26500,12.1
1976,Nova Scotia,All family units,After-tax income,Third quintile,39600,18
1976,Nova Scotia,All family units,After-tax income,Fourth quintile,55600,25.3
1976,Nova Scotia,All family units,After-tax income,Highest quintile,86000,39.1
1976,Nova Scotia,"Economic families, two persons or more",Market income,Total of quintiles,52100,100
1976,Nova Scotia,"Economic families, two persons or more",Market income,Lowest quintile,10200,3.9
1976,Nova Scotia,"Economic families, two persons or more",Market income,Second quintile,29800,11.4
1976,Nova Scotia,"Economic families, two persons or more",Market income,Third quintile,49000,18.8
1976,Nova Scotia,"Economic families, two persons or more",Market income,Fourth quintile,66600,25.6
1976,Nova Scotia,"Economic families, two persons or more",Market income,Highest quintile,104700,40.2
1976,Nova Scotia,"Economic families, two persons or more",Total income,Total of quintiles,59100,100
1976,Nova Scotia,"Economic families, two persons or more",Total income,Lowest quintile,21000,7.1
1976,Nova Scotia,"Economic families, two persons or more",Total income,Second quintile,38200,12.9
1976,Nova Scotia,"Economic families, two persons or more",Total income,Third quintile,54500,18.4
1976,Nova Scotia,"Economic families, two persons or more",Total income,Fourth quintile,72300,24.4
1976,Nova Scotia,"Economic families, two persons or more",Total income,Highest quintile,109700,37.1
1976,Nova Scotia,"Economic families, two persons or more",After-tax income,Total of quintiles,51400,100
1976,Nova Scotia,"Economic families, two persons or more",After-tax income,Lowest quintile,20700,8
1976,Nova Scotia,"Economic families, two persons or more",After-tax income,Second quintile,35300,13.7
1976,Nova Scotia,"Economic families, two persons or more",After-tax income,Third quintile,47800,18.6
1976,Nova Scotia,"Economic families, two persons or more",After-tax income,Fourth quintile,61700,24
1976,Nova Scotia,"Economic families, two persons or more",After-tax income,Highest quintile,91400,35.6
1976,Nova Scotia,Unattached individuals,Market income,Total of quintiles,16700,100
1976,Nova Scotia,Unattached individuals,Market income,Lowest quintile,1300,1.6
1976,Nova Scotia,Unattached individuals,Market income,Second quintile,3300,3.9
1976,Nova Scotia,Unattached individuals,Market income,Third quintile,9000,10.8
1976,Nova Scotia,Unattached individuals,Market income,Fourth quintile,25900,31
1976,Nova Scotia,Unattached individuals,Market income,Highest quintile,44100,52.7
1976,Nova Scotia,Unattached individuals,Total income,Total of quintiles,21500,100
1976,Nova Scotia,Unattached individuals,Total income,Lowest quintile,5000,4.6
1976,Nova Scotia,Unattached individuals,Total income,Second quintile,11500,10.7
1976,Nova Scotia,Unattached individuals,Total income,Third quintile,16100,14.9
1976,Nova Scotia,Unattached individuals,Total income,Fourth quintile,29200,27.1
1976,Nova Scotia,Unattached individuals,Total income,Highest quintile,46000,42.7
1976,Nova Scotia,Unattached individuals,After-tax income,Total of quintiles,19100,100
1976,Nova Scotia,Unattached individuals,After-tax income,Lowest quintile,5000,5.2
1976,Nova Scotia,Unattached individuals,After-tax income,Second quintile,11400,11.9
1976,Nova Scotia,Unattached individuals,After-tax income,Third quintile,15600,16.3
1976,Nova Scotia,Unattached individuals,After-tax income,Fourth quintile,24900,26.1
1976,Nova Scotia,Unattached individuals,After-tax income,Highest quintile,38600,40.4
1976,New Brunswick,All family units,Market income,Total of quintiles,43300,100
1976,New Brunswick,All family units,Market income,Lowest quintile,3500,1.6
1976,New Brunswick,All family units,Market income,Second quintile,18100,8.3
1976,New Brunswick,All family units,Market income,Third quintile,39300,18.1
1976,New Brunswick,All family units,Market income,Fourth quintile,58200,26.9
1976,New Brunswick,All family units,Market income,Highest quintile,97400,45
1976,New Brunswick,All family units,Total income,Total of quintiles,51300,100
1976,New Brunswick,All family units,Total income,Lowest quintile,11100,4.3
1976,New Brunswick,All family units,Total income,Second quintile,28900,11.3
1976,New Brunswick,All family units,Total income,Third quintile,47500,18.5
1976,New Brunswick,All family units,Total income,Fourth quintile,64700,25.2
1976,New Brunswick,All family units,Total income,Highest quintile,104400,40.7
1976,New Brunswick,All family units,After-tax income,Total of quintiles,44600,100
1976,New Brunswick,All family units,After-tax income,Lowest quintile,10900,4.9
1976,New Brunswick,All family units,After-tax income,Second quintile,27200,12.2
1976,New Brunswick,All family units,After-tax income,Third quintile,41800,18.7
1976,New Brunswick,All family units,After-tax income,Fourth quintile,56300,25.2
1976,New Brunswick,All family units,After-tax income,Highest quintile,87100,39
1976,New Brunswick,"Economic families, two persons or more",Market income,Total of quintiles,50300,100
1976,New Brunswick,"Economic families, two persons or more",Market income,Lowest quintile,7200,2.9
1976,New Brunswick,"Economic families, two persons or more",Market income,Second quintile,29700,11.8
1976,New Brunswick,"Economic families, two persons or more",Market income,Third quintile,47400,18.8
1976,New Brunswick,"Economic families, two persons or more",Market income,Fourth quintile,63600,25.3
1976,New Brunswick,"Economic families, two persons or more",Market income,Highest quintile,103800,41.2
1976,New Brunswick,"Economic families, two persons or more",Total income,Total of quintiles,59000,100
1976,New Brunswick,"Economic families, two persons or more",Total income,Lowest quintile,19700,6.7
1976,New Brunswick,"Economic families, two persons or more",Total income,Second quintile,39100,13.2
1976,New Brunswick,"Economic families, two persons or more",Total income,Third quintile,55000,18.6
1976,New Brunswick,"Economic families, two persons or more",Total income,Fourth quintile,70100,23.8
1976,New Brunswick,"Economic families, two persons or more",Total income,Highest quintile,111100,37.7
1976,New Brunswick,"Economic families, two persons or more",After-tax income,Total of quintiles,51200,100
1976,New Brunswick,"Economic families, two persons or more",After-tax income,Lowest quintile,19000,7.4
1976,New Brunswick,"Economic families, two persons or more",After-tax income,Second quintile,35300,13.8
1976,New Brunswick,"Economic families, two persons or more",After-tax income,Third quintile,48300,18.9
1976,New Brunswick,"Economic families, two persons or more",After-tax income,Fourth quintile,61300,24
1976,New Brunswick,"Economic families, two persons or more",After-tax income,Highest quintile,92000,35.9
1976,New Brunswick,Unattached individuals,Market income,Total of quintiles,16200,100
1976,New Brunswick,Unattached individuals,Market income,Lowest quintile,,
1976,New Brunswick,Unattached individuals,Market income,Second quintile,,
1976,New Brunswick,Unattached individuals,Market income,Third quintile,,
1976,New Brunswick,Unattached individuals,Market income,Fourth quintile,,
1976,New Brunswick,Unattached individuals,Market income,Highest quintile,,
1976,New Brunswick,Unattached individuals,Total income,Total of quintiles,21900,100
1976,New Brunswick,Unattached individuals,Total income,Lowest quintile,,
1976,New Brunswick,Unattached individuals,Total income,Second quintile,,
1976,New Brunswick,Unattached individuals,Total income,Third quintile,,
1976,New Brunswick,Unattached individuals,Total income,Fourth quintile,,
1976,New Brunswick,Unattached individuals,Total income,Highest quintile,,
1976,New Brunswick,Unattached individuals,After-tax income,Total of quintiles,19600,100
1976,New Brunswick,Unattached individuals,After-tax income,Lowest quintile,,
1976,New Brunswick,Unattached individuals,After-tax income,Second quintile,,
1976,New Brunswick,Unattached individuals,After-tax income,Third quintile,,
1976,New Brunswick,Unattached individuals,After-tax income,Fourth quintile,,
1976,New Brunswick,Unattached individuals,After-tax income,Highest quintile,,
1976,Quebec,All family units,Market income,Total of quintiles,55500,100
1976,Quebec,All family units,Market income,Lowest quintile,6400,2.3
1976,Quebec,All family units,Market income,Second quintile,27600,10
1976,Quebec,All family units,Market income,Third quintile,47800,17.2
1976,Quebec,All family units,Market income,Fourth quintile,70700,25.5
1976,Quebec,All family units,Market income,Highest quintile,125000,45
1976,Quebec,All family units,Total income,Total of quintiles,61400,100
1976,Quebec,All family units,Total income,Lowest quintile,14000,4.6
1976,Quebec,All family units,Total income,Second quintile,34200,11.2
1976,Quebec,All family units,Total income,Third quintile,53600,17.5
1976,Quebec,All family units,Total income,Fourth quintile,75500,24.6
1976,Quebec,All family units,Total income,Highest quintile,129800,42.3
1976,Quebec,All family units,After-tax income,Total of quintiles,52100,100
1976,Quebec,All family units,After-tax income,Lowest quintile,13600,5.2
1976,Quebec,All family units,After-tax income,Second quintile,30900,11.9
1976,Quebec,All family units,After-tax income,Third quintile,46600,17.9
1976,Quebec,All family units,After-tax income,Fourth quintile,63900,24.5
1976,Quebec,All family units,After-tax income,Highest quintile,105200,40.4
1976,Quebec,"Economic families, two persons or more",Market income,Total of quintiles,64900,100
1976,Quebec,"Economic families, two persons or more",Market income,Lowest quintile,13800,4.2
1976,Quebec,"Economic families, two persons or more",Market income,Second quintile,38900,12
1976,Quebec,"Economic families, two persons or more",Market income,Third quintile,58100,17.9
1976,Quebec,"Economic families, two persons or more",Market income,Fourth quintile,79600,24.5
1976,Quebec,"Economic families, two persons or more",Market income,Highest quintile,134300,41.4
1976,Quebec,"Economic families, two persons or more",Total income,Total of quintiles,71400,100
1976,Quebec,"Economic families, two persons or more",Total income,Lowest quintile,24000,6.7
1976,Quebec,"Economic families, two persons or more",Total income,Second quintile,46200,12.9
1976,Quebec,"Economic families, two persons or more",Total income,Third quintile,63200,17.7
1976,Quebec,"Economic families, two persons or more",Total income,Fourth quintile,84300,23.6
1976,Quebec,"Economic families, two persons or more",Total income,Highest quintile,139400,39
1976,Quebec,"Economic families, two persons or more",After-tax income,Total of quintiles,60300,100
1976,Quebec,"Economic families, two persons or more",After-tax income,Lowest quintile,22900,7.6
1976,Quebec,"Economic families, two persons or more",After-tax income,Second quintile,40900,13.6
1976,Quebec,"Economic families, two persons or more",After-tax income,Third quintile,54400,18
1976,Quebec,"Economic families, two persons or more",After-tax income,Fourth quintile,71100,23.6
1976,Quebec,"Economic families, two persons or more",After-tax income,Highest quintile,112200,37.2
1976,Quebec,Unattached individuals,Market income,Total of quintiles,22900,100
1976,Quebec,Unattached individuals,Market income,Lowest quintile,2600,2.3
1976,Quebec,Unattached individuals,Market income,Second quintile,2800,2.5
1976,Quebec,Unattached individuals,Market income,Third quintile,17000,14.9
1976,Quebec,Unattached individuals,Market income,Fourth quintile,30700,26.8
1976,Quebec,Unattached individuals,Market income,Highest quintile,61300,53.5
1976,Quebec,Unattached individuals,Total income,Total of quintiles,26800,100
1976,Quebec,Unattached individuals,Total income,Lowest quintile,6300,4.7
1976,Quebec,Unattached individuals,Total income,Second quintile,12000,9
1976,Quebec,Unattached individuals,Total income,Third quintile,20700,15.5
1976,Quebec,Unattached individuals,Total income,Fourth quintile,32900,24.5
1976,Quebec,Unattached individuals,Total income,Highest quintile,62000,46.3
1976,Quebec,Unattached individuals,After-tax income,Total of quintiles,23500,100
1976,Quebec,Unattached individuals,After-tax income,Lowest quintile,6300,5.4
1976,Quebec,Unattached individuals,After-tax income,Second quintile,11900,10.2
1976,Quebec,Unattached individuals,After-tax income,Third quintile,19500,16.6
1976,Quebec,Unattached individuals,After-tax income,Fourth quintile,28600,24.4
1976,Quebec,Unattached individuals,After-tax income,Highest quintile,51000,43.5
1976,Ontario,All family units,Market income,Total of quintiles,62400,100
1976,Ontario,All family units,Market income,Lowest quintile,7200,2.3
1976,Ontario,All family units,Market income,Second quintile,31300,10
1976,Ontario,All family units,Market income,Third quintile,55400,17.7
1976,Ontario,All family units,Market income,Fourth quintile,78800,25.2
1976,Ontario,All family units,Market income,Highest quintile,139600,44.7
1976,Ontario,All family units,Total income,Total of quintiles,67100,100
1976,Ontario,All family units,Total income,Lowest quintile,14100,4.2
1976,Ontario,All family units,Total income,Second quintile,36900,11
1976,Ontario,All family units,Total income,Third quintile,59100,17.6
1976,Ontario,All family units,Total income,Fourth quintile,82500,24.6
1976,Ontario,All family units,Total income,Highest quintile,142900,42.6
1976,Ontario,All family units,After-tax income,Total of quintiles,56100,100
1976,Ontario,All family units,After-tax income,Lowest quintile,13700,4.9
1976,Ontario,All family units,After-tax income,Second quintile,32800,11.7
1976,Ontario,All family units,After-tax income,Third quintile,50700,18.1
1976,Ontario,All family units,After-tax income,Fourth quintile,69500,24.7
1976,Ontario,All family units,After-tax income,Highest quintile,114100,40.6
1976,Ontario,"Economic families, two persons or more",Market income,Total of quintiles,74200,100
1976,Ontario,"Economic families, two persons or more",Market income,Lowest quintile,15600,4.2
1976,Ontario,"Economic families, two persons or more",Market income,Second quintile,46800,12.6
1976,Ontario,"Economic families, two persons or more",Market income,Third quintile,66900,18
1976,Ontario,"Economic families, two persons or more",Market income,Fourth quintile,89600,24.2
1976,Ontario,"Economic families, two persons or more",Market income,Highest quintile,152000,41
1976,Ontario,"Economic families, two persons or more",Total income,Total of quintiles,79200,100
1976,Ontario,"Economic families, two persons or more",Total income,Lowest quintile,24800,6.3
1976,Ontario,"Economic families, two persons or more",Total income,Second quintile,51500,13
1976,Ontario,"Economic families, two persons or more",Total income,Third quintile,71100,18
1976,Ontario,"Economic families, two persons or more",Total income,Fourth quintile,93000,23.5
1976,Ontario,"Economic families, two persons or more",Total income,Highest quintile,155500,39.3
1976,Ontario,"Economic families, two persons or more",After-tax income,Total of quintiles,65800,100
1976,Ontario,"Economic families, two persons or more",After-tax income,Lowest quintile,22800,6.9
1976,Ontario,"Economic families, two persons or more",After-tax income,Second quintile,45200,13.7
1976,Ontario,"Economic families, two persons or more",After-tax income,Third quintile,60800,18.5
1976,Ontario,"Economic families, two persons or more",After-tax income,Fourth quintile,77700,23.6
1976,Ontario,"Economic families, two persons or more",After-tax income,Highest quintile,122700,37.3
1976,Ontario,Unattached individuals,Market income,Total of quintiles,28200,100
1976,Ontario,Unattached individuals,Market income,Lowest quintile,2700,1.9
1976,Ontario,Unattached individuals,Market income,Second quintile,6900,4.9
1976,Ontario,Unattached individuals,Market income,Third quintile,22900,16.2
1976,Ontario,Unattached individuals,Market income,Fourth quintile,38600,27.4
1976,Ontario,Unattached individuals,Market income,Highest quintile,69900,49.6
1976,Ontario,Unattached individuals,Total income,Total of quintiles,31900,100
1976,Ontario,Unattached individuals,Total income,Lowest quintile,6400,4
1976,Ontario,Unattached individuals,Total income,Second quintile,14300,8.9
1976,Ontario,Unattached individuals,Total income,Third quintile,26600,16.7
1976,Ontario,Unattached individuals,Total income,Fourth quintile,41000,25.7
1976,Ontario,Unattached individuals,Total income,Highest quintile,71300,44.7
1976,Ontario,Unattached individuals,After-tax income,Total of quintiles,27900,100
1976,Ontario,Unattached individuals,After-tax income,Lowest quintile,6300,4.5
1976,Ontario,Unattached individuals,After-tax income,Second quintile,13900,10
1976,Ontario,Unattached individuals,After-tax income,Third quintile,24100,17.3
1976,Ontario,Unattached individuals,After-tax income,Fourth quintile,35500,25.5
1976,Ontario,Unattached individuals,After-tax income,Highest quintile,59500,42.7
1976,Manitoba,All family units,Market income,Total of quintiles,49900,100
1976,Manitoba,All family units,Market income,Lowest quintile,2700,1.1
1976,Manitoba,All family units,Market income,Second quintile,20600,8.2
1976,Manitoba,All family units,Market income,Third quintile,44000,17.6
1976,Manitoba,All family units,Market income,Fourth quintile,67000,26.8
1976,Manitoba,All family units,Market income,Highest quintile,115400,46.2
1976,Manitoba,All family units,Total income,Total of quintiles,54500,100
1976,Manitoba,All family units,Total income,Lowest quintile,8800,3.2
1976,Manitoba,All family units,Total income,Second quintile,26800,9.8
1976,Manitoba,All family units,Total income,Third quintile,47700,17.5
1976,Manitoba,All family units,Total income,Fourth quintile,70500,25.9
